Type,sizing_constant,sizing_constant_unit,usage_constant,usage_constant_unit,electricity_consumption,electricity_consumption_unit,conversion_factor_stoich,conversion_factor_stoich_unit,conversion_factor_yield,conversion_factor_yield_unit,lifespan,lifespan_units,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,interest_rate,location_name
10,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,AU
11,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,SA
12,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,IN
13,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,AE
14,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,MA
15,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,KE
16,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,ZA
17,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,KR
18,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,EG
19,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,NG
20,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,BR
21,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,CO
22,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,PE
23,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,CL
24,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,FR
25,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,DE
26,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,US
27,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,RU
28,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,CN
29,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,TR
30,2.494117647,G$/Gg NH3 h,1.19E+00,G$/Gg NH3 h,1.432664756,Gg NH3/GWh,5.666666667,GgNH3/GgH2,0.97,GgNH3/GgH2,262800,h,0,GWp,0,0.1,JP
