region,scenario,group,2021,2030,2040,2050
MYS,high,0,3698.976928,2453.342145,2155.515057,1858.117043
MYS,high,1,3818.904501,2532.883968,2225.400783,1918.360584
MYS,high,2,3927.883376,2605.16408,2288.906344,1973.104235
MYS,high,3,4445.188855,2948.266337,2590.357196,2232.96369
MYS,high,4,4917.534526,3261.549054,2865.608496,2470.238363
MYS,high,5,5041.175643,3343.553881,2937.658226,2532.347338
MYS,high,6,5070.14787,3362.769677,2954.541292,2546.901035
MYS,high,7,5071.391747,3363.594676,2955.26614,2547.525875
MYS,high,8,5071.46903,3363.645935,2955.311175,2547.564697
MYS,high,9,5070.387058,3362.928318,2954.680675,2547.021187
MYS,low,0,2016.433441,1520.78519,1371.723832,1219.278708
MYS,low,1,2081.809887,1570.091817,1416.197619,1258.809945
MYS,low,2,2141.21784,1614.897032,1456.611204,1294.732208
MYS,low,3,2423.217995,1827.580303,1648.4481,1465.249508
MYS,low,4,2680.709087,2021.778946,1823.61216,1620.946888
MYS,low,5,2748.109908,2072.612348,1869.463072,1661.702206
MYS,low,6,2763.903618,2084.523894,1880.207095,1671.252204
MYS,low,7,2764.581695,2085.035297,1880.668373,1671.662218
MYS,low,8,2764.623825,2085.067071,1880.697033,1671.687692
MYS,low,9,2764.034007,2084.622233,1880.295795,1671.331046
MYS,medium,0,2528.725378,2044.451788,1796.262548,1548.43087
MYS,medium,1,2610.711263,2110.736641,1854.500653,1598.63382
MYS,medium,2,2685.212308,2170.970067,1907.421954,1644.25353
MYS,medium,3,3038.856983,2456.888615,2158.630998,1860.803075
MYS,medium,4,3361.765859,2717.957546,2388.007081,2058.53197
MYS,medium,5,3446.290428,2786.294902,2448.048523,2110.289449
MYS,medium,6,3466.096663,2802.308065,2462.117744,2122.41753
MYS,medium,7,3466.947013,2802.995565,2462.721784,2122.93823
MYS,medium,8,3466.999846,2803.03828,2462.759314,2122.970582
MYS,medium,9,3466.260179,2802.440266,2462.233897,2122.517657
