region,group,scenario,2022,2030,2040,2050
MMR,0,high,0.19217246938411378,0.10429522555452869,0.08084203812978077,0.05738885070503316
MMR,1,high,0.19741866866732283,0.10714242598495363,0.08304897986211571,0.05895553373927752
MMR,2,high,0.203152415623639,0.11025422672310331,0.08546102041898915,0.060667814114874895
MMR,3,high,0.20602824532941236,0.1118149877872732,0.08667080835309826,0.061526628918923784
MMR,4,high,0.20909067051400088,0.11347701735058224,0.08795909222817971,0.062441167105777226
MMR,5,high,0.21453965405821046,0.1164342722040355,0.09025134010770858,0.06406840801138149
MMR,6,high,0.2225233164785487,0.12076713983876465,0.09360986250099776,0.06645258516323135
MMR,7,high,0.22768172893331273,0.12356669688352277,0.09577987456200569,0.06799305224048846
MMR,8,high,0.23190846528285974,0.12586061766389528,0.09755795433706306,0.06925529101023065
MMR,9,high,0.2361491907643966,0.1281621305810627,0.09934191898181674,0.07052170738256952
