Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,1.917519263,G$/GWp,262800,h,WINDOUT,24,0,0.0008,GWp,0.02,0.1,GWp,0.005,SGP
1,1.735008303,G$/GWp,262800,h,WINDOUT,24,0,66.4506,GWp,0.02,0.1,GWp,0.005,IDN
2,1.918360584,G$/GWp,262800,h,WINDOUT,24,0,10.0264,GWp,0.02,0.1,GWp,0.005,MYS
3,1.917519263,G$/GWp,262800,h,WINDOUT,24,0,0.0288,GWp,0.02,0.1,GWp,0.005,BRN
4,1.458154619,G$/GWp,262800,h,WINDOUT,24,0,10.7014,GWp,0.02,0.1,GWp,0.005,KHM
5,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,105.3675,GWp,0.02,0.1,GWp,0.005,MMR
6,1.150155125,G$/GWp,262800,h,WINDOUT,24,0,17.4846,GWp,0.02,0.1,GWp,0.005,PHL
7,1.410920381,G$/GWp,262800,h,WINDOUT,24,0,42.011,GWp,0.02,0.1,GWp,0.005,THA
8,1.219355259,G$/GWp,262800,h,WINDOUT,24,0,20.8976,GWp,0.02,0.1,GWp,0.005,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,0.02,0.1,GWp,0.005,LAO
10,1.278948361,G$/GWp,219000,h,WINDOUT,24,0,1448.5695,GWp,0.02,0.1,GWp,0.005,AUS
11,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,325.5595,GWp,0.02,0.1,GWp,0.005,SAU
12,1.112548261,G$/GWp,219000,h,WINDOUT,24,0,522.9315,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,1.457468346,G$/GWp,219000,h,WINDOUT,24,0,81.062,GWp,0.02,0.1,GWp,0.005,MAR
15,1.412301311,G$/GWp,219000,h,WINDOUT,24,0,101.2175,GWp,0.02,0.1,GWp,0.005,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,244.2195,GWp,0.02,0.1,GWp,0.005,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,10.955,GWp,0.02,0.1,GWp,0.005,KOR
18,1.328754357,G$/GWp,219000,h,WINDOUT,24,0,192.833,GWp,0.02,0.1,GWp,0.005,EGY
19,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,246.5855,GWp,0.02,0.1,GWp,0.005,NGA
20,1.054268654,G$/GWp,262800,h,WINDOUT,24,0,766.7515,GWp,0.02,0.1,GWp,0.005,BRA
21,1.415274671,G$/GWp,262800,h,WINDOUT,24,0,121.244,GWp,0.02,0.1,GWp,0.005,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,71.7745,GWp,0.02,0.1,GWp,0.005,PER
23,1.15798889,G$/GWp,262800,h,WINDOUT,24,0,46.43,GWp,0.02,0.1,GWp,0.005,CHL
24,1.477071446,G$/GWp,219000,h,WINDOUT,24,0,69.3215,GWp,0.02,0.1,GWp,0.005,FRA
25,1.471846359,G$/GWp,219000,h,WINDOUT,24,0,53.956,GWp,0.02,0.1,GWp,0.005,DEU
26,1.190696461,G$/GWp,219000,h,WINDOUT,24,0,1472.9595,GWp,0.02,0.1,GWp,0.005,USA
27,1.387530777,G$/GWp,219000,h,WINDOUT,24,0,861.597,GWp,0.02,0.1,GWp,0.005,RUS
28,1.09684,G$/GWp,219000,h,WINDOUT,24,0,742.63,GWp,0.02,0.1,GWp,0.005,CHN
29,1.402462151,G$/GWp,219000,h,WINDOUT,24,0,93.114,GWp,0.02,0.1,GWp,0.005,TUR
30,1.280659531,G$/GWp,219000,h,WINDOUT,24,0,14.4085,GWp,0.02,0.1,GWp,0.005,JPN
