Type,maximum_budget,maximum_budget_unit,case_study,,,,
52,2394.80586,MtCO2e,MY-SG,,,,
53,3193.07448,MtCO2e,MY-SG,,,,
54,3.99E+03,MtCO2e,MY-SG,,,,
55,8.69E+03,MtCO2e,ID-MY,,,,
56,5792.7124,MtCO2e,ID-MY,,,,
57,2896.3562,MtCO2e,ID-MY,,,,
58,0,MtCO2e,ID-MY,,,,
59,1259.346429,MtCO2e,ID-MY,,,,
60,2518.692857,MtCO2e,ID-MY,,,,
61,3778.039286,MtCO2e,ID-MY,,,,
62,5037.385714,MtCO2e,ID-MY,,,,
63,6296.732143,MtCO2e,ID-MY,,,,
64,7556.078571,MtCO2e,ID-MY,,,,
65,8.82E+03,MtCO2e,ID-MY,,,,
66,9.03E+03,MtCO2e,ID-MY-SG,,,,
67,6019.84715,MtCO2e,ID-MY-SG,,,,
68,3009.923575,MtCO2e,ID-MY-SG,,,,
69,0,MtCO2e,ID-MY-SG,,,,
70,1420.0413,MtCO2e,ID-MY-SG,,,,
71,2840.0826,MtCO2e,ID-MY-SG,,,,
72,4260.1239,MtCO2e,ID-MY-SG,,,,
73,5680.1652,MtCO2e,ID-MY-SG,,,,
74,7100.2065,MtCO2e,ID-MY-SG,,,,
75,8520.2478,MtCO2e,ID-MY-SG,,,,
76,9.94E+03,MtCO2e,ID-MY-SG,,,,
77,1.12E+03,MtCO2e,PH,,,,
78,557.5501656,MtCO2e,PH,,,,
79,0,MtCO2e,PH,,,,
80,197.650125,MtCO2e,PH,,,,
81,395.30025,MtCO2e,PH,,,,
82,592.950375,MtCO2e,PH,,,,
83,790.6005,MtCO2e,PH,,,,
84,988.250625,MtCO2e,PH,,,,
85,1185.90075,MtCO2e,PH,,,,
86,1383.550875,MtCO2e,PH,,,,
87,1.58E+03,MtCO2e,PH,,,,
88,2.12E+03,MtCO2e,VN,,,,
89,1057.768436,MtCO2e,VN,,,,
90,0,MtCO2e,VN,,,,
91,313.9780875,MtCO2e,VN,,,,
92,627.956175,MtCO2e,VN,,,,
93,941.9342625,MtCO2e,VN,,,,
94,1255.91235,MtCO2e,VN,,,,
95,1569.890438,MtCO2e,VN,,,,
96,1883.868525,MtCO2e,VN,,,,
97,2197.846613,MtCO2e,VN,,,,
98,2.51E+03,MtCO2e,VN,,,,
99,1.67E+03,MtCO2e,TH,,,,
100,834.216138,MtCO2e,TH,,,,
101,0,MtCO2e,TH,,,,
102,247.0446,MtCO2e,TH,,,,
103,494.0892,MtCO2e,TH,,,,
104,741.1338,MtCO2e,TH,,,,
105,988.1784,MtCO2e,TH,,,,
106,1235.223,MtCO2e,TH,,,,
107,1482.2676,MtCO2e,TH,,,,
108,1729.3122,MtCO2e,TH,,,,
109,1.98E+03,MtCO2e,TH,,,,
110,2.23E+02,MtCO2e,KH,,,,
111,148.5114811,MtCO2e,KH,,,,
112,74.25574056,MtCO2e,KH,,,,
