region,group,scenario,2022,2030,2040,2050
IND,0,high,1371.4285709999997,632.9046217999999,484.30954279999986,331.54549869999994
IND,1,high,1371.4285709999997,632.9046217999999,484.3095427999998,331.5454986999999
IND,2,high,1371.4285710000001,632.9046218,484.3095428000001,331.5454987
IND,3,high,1371.4285710000001,632.9046218000001,484.30954280000003,331.5454987
IND,4,high,1371.4285709999997,632.9046217999997,484.30954279999986,331.5454987
IND,5,high,1371.4285709999997,632.9046217999999,484.3095427999999,331.5454987
IND,6,high,1371.4285709999997,632.9046218000001,484.3095428,331.54549870000005
IND,7,high,1371.4285709999997,632.9046218000001,484.30954280000003,331.54549869999994
IND,8,high,1371.428571,632.9046218,484.3095427999999,331.5454987
IND,9,high,1371.428571,632.9046218,484.3095427999999,331.5454987
