location,PHL,BRN,SGP,VNM,MYS,THA,LAO,KHM,IDN,MAR,EGY,PER,COL,NGA,ZAF,BRA,KEN,KOR,CHL,AUS,TUR,CHN,IND,USA,DEU,JPN,FRA,MMR,RUS,SAU
windonshore,1.054057981,0.00166843,0,8.503030303,0.001624052,2.694883701,0.001744261,0,0.455256059,5.391210735,5.322711043,1.581486486,0.040288591,0.006348336,5.273438474,62.57119411,2.544284121,2.32726534,9.38607143,,,,,,,,,0,,
pvopenfield,3.985433676,0.00834215,1.032536659,30.35247669,3.139292062,5.548495179,0.102911416,0.840733944,1.696863494,1.143238444,5.170633584,0.744756757,1.513060403,0.711013604,8.677732573,80.42658823,2.089114026,30.9912449,17.41105844,,,,,,,,,0.315711294,,
