year,sizing_constant,sizing_constant_unit,case_study
2025,0.5,B.USD/GWp,SG
2030,0.49,B.USD/GWp,SG
2035,0.47,B.USD/GWp,SG
2040,0.46,B.USD/GWp,SG
2045,0.45,B.USD/GWp,SG
2050,0.42,B.USD/GWp,SG
2025,0.412,B.USD/GWp,ID
2030,0.396857143,B.USD/GWp,ID
2035,0.381714286,B.USD/GWp,ID
2040,0.366571429,B.USD/GWp,ID
2045,0.351428571,B.USD/GWp,ID
2050,0.336285714,B.USD/GWp,ID
