Type,sizing_constant,sizing_constant_unit,usage_constant,usage_constant_unit,lifespan,lifespan_units,fuel_emissions_factor,fuel_emissions_factor,process_emissions_factor,process_emissions_factor_unit,clinker_to_cement_ratio,electricity_intensity,electricity_intensity_unit,interest_rate,existing_capacity,existing_capacity_decay_rate,location_name
0,0.017,G$/Mt cement,3.04E-02,G$/Mt cement,219000,h,0.622,MtCO2e/Mt cement,0.52,MtCO2e/Mt clinker,0,94,GWh/Mt cement,0.03,0,0.005,SG
1,0.017,G$/Mt cement,3.04E-02,G$/Mt cement,219000,h,0.622,MtCO2e/Mt cement,0.52,MtCO2e/Mt clinker,0.685,94,GWh/Mt cement,0.03,60.795,0.005,ID
