region,group,scenario,2022,2030,2040,2050
KEN,0,high,1537133.082,1537133.082,1537133.082,1537133.082
KEN,1,high,1603504.804,1603504.804,1603504.804,1603504.804
KEN,2,high,4533373.999,4533373.999,4533373.999,4533373.999
KEN,3,high,12164409.45,12164409.45,12164409.45,12164409.45
KEN,4,high,7801700.915,7801700.915,7801700.915,7801700.915
KEN,5,high,2563786.44,2563786.44,2563786.44,2563786.44
KEN,6,high,9495290.503,9495290.503,9495290.503,9495290.503
KEN,7,high,9062021.161,9062021.161,9062021.161,9062021.161
KEN,8,high,5393577.063,5393577.063,5393577.063,5393577.063
KEN,9,high,9421957.319,9421957.319,9421957.319,9421957.319
