Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,SGP
1,1.932515451,G$/GWp,262800,h,WINDOUT,24,0,66.4448,GWp,0.02,0.1,GWp,0.005,IDN
2,2.470238363,G$/GWp,262800,h,WINDOUT,24,0,10.0264,GWp,0.02,0.1,GWp,0.005,MYS
3,2.546930602,G$/GWp,262800,h,WINDOUT,24,0,0.028,GWp,0.02,0.1,GWp,0.005,BRN
4,1.477576026,G$/GWp,262800,h,WINDOUT,24,0,10.6218,GWp,0.02,0.1,GWp,0.005,KHM
5,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,206.297,GWp,0.02,0.1,GWp,0.005,MMR
6,1.525171877,G$/GWp,262800,h,WINDOUT,24,0,16.7958,GWp,0.02,0.1,GWp,0.005,PHL
7,1.491400382,G$/GWp,262800,h,WINDOUT,24,0,40.8008,GWp,0.02,0.1,GWp,0.005,THA
8,1.453936277,G$/GWp,262800,h,WINDOUT,24,0,20.5246,GWp,0.02,0.1,GWp,0.005,VNM
9,1.806649052,G$/GWp,262800,h,WINDOUT,24,0,12.8176,GWp,0.02,0.1,GWp,0.005,LAO
10,1.278948361,G$/GWp,219000,h,WINDOUT,24,0,2194.5105,GWp,0.02,0.1,GWp,0.005,AUS
11,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,551.2465,GWp,0.02,0.1,GWp,0.005,SAU
12,1.112548261,G$/GWp,219000,h,WINDOUT,24,0,696.29,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,1.468929644,G$/GWp,219000,h,WINDOUT,24,0,101.794,GWp,0.02,0.1,GWp,0.005,MAR
15,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,145.257,GWp,0.02,0.1,GWp,0.005,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,435.0955,GWp,0.02,0.1,GWp,0.005,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,15.813,GWp,0.02,0.1,GWp,0.005,KOR
18,1.328821939,G$/GWp,219000,h,WINDOUT,24,0,336.606,GWp,0.02,0.1,GWp,0.005,EGY
19,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,246.239,GWp,0.02,0.1,GWp,0.005,NGA
20,1.054285569,G$/GWp,262800,h,WINDOUT,24,0,1551.7985,GWp,0.02,0.1,GWp,0.005,BRA
21,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,171.1325,GWp,0.02,0.1,GWp,0.005,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,28.623,GWp,0.02,0.1,GWp,0.005,PER
23,1.237660959,G$/GWp,262800,h,WINDOUT,24,0,64.1655,GWp,0.02,0.1,GWp,0.005,CHL
24,1.477092913,G$/GWp,219000,h,WINDOUT,24,0,94.8765,GWp,0.02,0.1,GWp,0.005,FRA
25,1.471846359,G$/GWp,219000,h,WINDOUT,24,0,57.295,GWp,0.02,0.1,GWp,0.005,DEU
26,1.191193351,G$/GWp,219000,h,WINDOUT,24,0,1067.581,GWp,0.02,0.1,GWp,0.005,USA
27,1.395538353,G$/GWp,219000,h,WINDOUT,24,0,2044.9005,GWp,0.02,0.1,GWp,0.005,RUS
28,1.09684,G$/GWp,219000,h,WINDOUT,24,0,1361.4335,GWp,0.02,0.1,GWp,0.005,CHN
29,1.402462151,G$/GWp,219000,h,WINDOUT,24,0,209.4575,GWp,0.02,0.1,GWp,0.005,TUR
30,1.280747716,G$/GWp,219000,h,WINDOUT,24,0,29.1935,GWp,0.02,0.1,GWp,0.005,JPN
