Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,0.51,G$/GWp,210240,h,PVOUT,24,0,2.764361365,GWp,SGP
1,0.537290183,G$/GWp,210240,h,PVOUT,24,0,194.6983221,GWp,IDN
2,0.51,G$/GWp,210240,h,PVOUT,24,0,5127.898157,GWp,MYS
3,0.51,G$/GWp,210240,h,PVOUT,24,0,0.372455306,GWp,BRN
4,0.51,G$/GWp,210240,h,PVOUT,24,0,11.85836712,GWp,KHM
5,0.5451748366000001,G$/GWp,210240,h,PVOUT,24,0,36.0,GWp,MMR
6,0.51,G$/GWp,210240,h,PVOUT,24,0,90.86142092,GWp,PHL
7,0.51,G$/GWp,210240,h,PVOUT,24,0,68.09770177,GWp,THA
8,0.348892792,G$/GWp,210240,h,PVOUT,24,0,14164.97676,GWp,VNM
9,0.51,G$/GWp,210240,h,PVOUT,24,0,2794.702241,GWp,LAO
10,0.5675222781,G$/GWp,210240,h,PVOUT,24,0,32.0,GWp,AUS
11,0.3413120807000001,G$/GWp,210240,h,PVOUT,24,0,35.0,GWp,SAU
12,0.3315454986999999,G$/GWp,210240,h,PVOUT,24,0,1067.0,GWp,IND
13,1.658316,G$/GWp,210240,h,PVOUT,24,0,0.0,GWp,ARE
14,0.545174837,G$/GWp,210240,h,PVOUT,24,0,25.0,GWp,MAR
15,0.545174837,G$/GWp,210240,h,PVOUT,24,0,64.0,GWp,KEN
16,0.701418804,G$/GWp,210240,h,PVOUT,24,0,66.0,GWp,ZAF
17,0.726445709,G$/GWp,210240,h,PVOUT,24,0,42.0,GWp,KOR
18,0.545174837,G$/GWp,210240,h,PVOUT,24,0,71.0,GWp,EGY
19,0.545174837,G$/GWp,210240,h,PVOUT,24,0,177.0,GWp,NGA
20,0.42017606,G$/GWp,210240,h,PVOUT,24,0,209.0,GWp,BRA
21,0.545174837,G$/GWp,210240,h,PVOUT,24,0,38.0,GWp,COL
22,0.545174837,G$/GWp,210240,h,PVOUT,24,0,29.0,GWp,PER
23,0.550908264,G$/GWp,210240,h,PVOUT,24,0,18.0,GWp,CHL
24,0.6663871130999999,G$/GWp,219000,h,PVOUT,24,0,84.0,GWp,FRA
25,0.6008048169000001,G$/GWp,219001,h,PVOUT,24,0,96.0,GWp,DEU
26,0.6519093478,G$/GWp,219002,h,PVOUT,24,0,452.0,GWp,USA
27,0.8008031871000001,G$/GWp,219003,h,PVOUT,24,0,144.0,GWp,RUS
28,0.3923635149,G$/GWp,219004,h,PVOUT,24,0,1210.0,GWp,CHN
29,0.3714263609999998,G$/GWp,219005,h,PVOUT,24,0,64.0,GWp,TUR
30,0.8120734846,G$/GWp,219006,h,PVOUT,24,0,121.0,GWp,JPN
