region,scenario,group,2021,2030,2040,2050
THA,high,0,8823.588676,4326.964405,4056.52913,3786.093854
THA,high,1,10166.50583,4985.512185,4673.917673,4362.323162
THA,high,2,11156.71137,5471.095121,5129.151676,4787.208231
THA,high,3,12390.56865,6076.161468,5696.401376,5316.641284
THA,high,4,13827.42869,6780.777523,6356.978928,5933.180333
THA,high,5,14757.21455,7236.731497,6784.435779,6332.14006
THA,high,6,16085.09972,7887.9078,7394.913562,6901.919325
THA,high,7,18514.31026,9079.158655,8511.711239,7944.263823
THA,high,8,19037.99899,9335.968276,8752.470259,8168.972241
THA,high,9,20793.97542,10197.07454,9559.757385,8922.440226
THA,low,0,2371.411211,2308.273994,2104.872101,1901.465021
THA,low,1,2732.331118,2659.584652,2425.225753,2190.860877
THA,low,2,2998.456908,2918.625023,2661.439847,2404.248112
THA,low,3,3330.066088,3241.405333,2955.777205,2670.141793
THA,low,4,3716.233908,3617.291697,3298.540985,2979.782145
THA,low,5,3966.121419,3860.526122,3520.341931,3180.149066
THA,low,6,4323.001356,4207.904373,3837.109693,3466.305559
THA,low,7,4975.871444,4843.392237,4416.599251,3989.795382
THA,low,8,5116.617047,4980.390584,4541.525494,4102.649214
THA,low,9,5588.549993,5439.758635,4960.414672,4481.058486
THA,medium,0,3668.73515,3326.630168,3090.049608,2852.197532
THA,medium,1,4227.102902,3832.930822,3560.343587,3286.291316
THA,medium,2,4638.817679,4206.25371,3907.116804,3606.372168
THA,medium,3,5151.839735,4671.437098,4339.21766,4005.212689
THA,medium,4,5749.267735,5213.155681,4842.410745,4469.673218
THA,medium,5,6135.860786,5563.699412,5168.024794,4770.223599
THA,medium,6,6687.978429,6064.332773,5633.054521,5199.458339
THA,medium,7,7698.013057,6980.18293,6483.771997,5984.693074
THA,medium,8,7915.756121,7177.621724,6667.169501,6153.973821
THA,medium,9,8645.868629,7839.65215,7282.118189,6721.587728
