asset_name,profile_path,RE_type,CO2_emissions_factor,CO2_emissions_factor_unit,capacity_factor,charging_conversion_factor,charging_sizing_constant,charging_sizing_constant_units,charging_usage_constant,charging_usage_constant_units,conversion_factor,conversion_factor_unit,discharging_conversion_factor,discharging_sizing_constant,discharging_sizing_constant_units,discharging_usage_constant,discharging_usage_constant_units,existing_capacity,existing_capacity_units,lifespan,lifespan_unit,lifespan_units,maximum_size,maximum_size_unit,profile_filename,set_number,set_size,sizing_constant,sizing_constant_unit,storage_conversion_factor,storage_sizing_constant,storage_sizing_constant_units,storage_usage_constant,storage_usage_constant_units,usage_constant,usage_constant_1,usage_constant_1_unit,usage_constant_2,usage_constant_2_unit,usage_constant_unit
RE_WIND_Onshore_BAU_8,Code/Assets/RE_WIND_Onshore_BAU_8/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,0.368258014,GWp,,0,24,1.2807477163527567,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_BAU_9,Code/Assets/RE_WIND_Onshore_BAU_9/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,0.368258014,GWp,,0,24,1.280747716352766,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_0,Code/Assets/RE_WIND_Onshore_Lim_0/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,11.078,GWp,,0,24,1.276088851530636,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_1,Code/Assets/RE_WIND_Onshore_Lim_1/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,14.4085,GWp,,0,24,1.2806595311852476,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_2,Code/Assets/RE_WIND_Onshore_Lim_2/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,19.3375,GWp,,0,24,1.280747716352765,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_3,Code/Assets/RE_WIND_Onshore_Lim_3/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,30.3695,GWp,,0,24,1.2807477163527596,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_4,Code/Assets/RE_WIND_Onshore_Lim_4/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,29.1935,GWp,,0,24,1.2807477163527503,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_5,Code/Assets/RE_WIND_Onshore_Lim_5/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,37.24,GWp,,0,24,1.2807477163527643,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_6,Code/Assets/RE_WIND_Onshore_Lim_6/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,45.367,GWp,,0,24,1.280747716352766,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_7,Code/Assets/RE_WIND_Onshore_Lim_7/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,43.7325,GWp,,0,24,1.2807477163527634,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_8,Code/Assets/RE_WIND_Onshore_Lim_8/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,46.4835,GWp,,0,24,1.2807477163527567,G$/GWp,0,,,0,,,,,0,,
RE_WIND_Onshore_Lim_9,Code/Assets/RE_WIND_Onshore_Lim_9/profiles/WINDOUT/lat35.5/WINDOUT_lat35.5_lon140.0.csv,WINDOUT,,,,,,,,,,,,,,,,,,219000,h,,51.2295,GWp,,0,24,1.280747716352766,G$/GWp,0,,,0,,,,,0,,
