Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,9.904322753,G$/GWp,262800,h,WINDOUT,24,0,314.959,GWp,IDN
2,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,597.573,GWp,MYS
3,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,15.423,GWp,BRN
4,8.704494233,G$/GWp,262800,h,WINDOUT,24,0,9.388,GWp,KHM
5,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,700.0,GWp,MMR
6,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,688.186,GWp,PHL
7,7.944263823,G$/GWp,262800,h,WINDOUT,24,0,41.794,GWp,THA
8,6.485050140999999,G$/GWp,262800,h,WINDOUT,24,0,90.11,GWp,VNM
9,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,LAO
10,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,AUS
11,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SAU
12,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,IND
13,1.58132366,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,ARE
14,3.308775007,G$/GWp,219000,h,WINDOUT,24,0,252.0,GWp,MAR
15,3.204887113,G$/GWp,219000,h,WINDOUT,24,0,24.0,GWp,KEN
16,3.366959205,G$/GWp,219000,h,WINDOUT,24,0,761.0,GWp,ZAF
17,6.0969299789999996,G$/GWp,262800,h,WINDOUT,24,0,56.144,GWp,KOR
18,3.253693117,G$/GWp,219000,h,WINDOUT,24,0,139.0,GWp,EGY
19,2.377676775,G$/GWp,219000,h,WINDOUT,24,0,167.0,GWp,NGA
20,3.01492513,G$/GWp,219000,h,WINDOUT,24,0,2041.0,GWp,BRA
21,3.126317762,G$/GWp,219000,h,WINDOUT,24,0,157.0,GWp,COL
22,3.327377073,G$/GWp,219000,h,WINDOUT,24,0,337.0,GWp,PER
23,3.111679588,G$/GWp,219000,h,WINDOUT,24,0,799.0,GWp,CHL
24,2.184,G$/GWp,219000,h,WINDOUT,24,0,,GWp,MOZ
