Type,sizing_constant,sizing_constant_unit,load_factor,load_factor_unit,lifespan,lifespan_units,energy_intensity,energy_intensity_unit,charge_efficiency,battery_energy_per_capacity,battery_energy_per_capacity_unit,charge_rate_per_capacity,charge_rate_per_capacity_unit,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,interest_rate,loc_name
0,1,G$/mveh-km,11,mton/mveh,219000,h,0.27777778,GWh/mtkm,0.9,5,GWh/mveh-km,1.875,GW/mveh-km,0,mtkm,0.005,0.05,SG
1,1,G$/mveh-km,11,mton/mveh,219000,h,0.27777778,GWh/mtkm,0.9,5,GWh/mveh-km,1.875,GW/mveh-km,0,mtkm,0.005,0.05,ID
