Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,0.51,G$/GWp,262800,h,PVOUT,24,0,0.35339,GWp,SGP
1,0.5372901825,G$/GWp,262800,h,PVOUT,24,0,2586.60607,GWp,IDN
2,0.51,G$/GWp,262800,h,PVOUT,24,0,1793.435667,GWp,MYS
3,0.51,G$/GWp,262800,h,PVOUT,24,0,5.02455,GWp,BRN
4,0.51,G$/GWp,262800,h,PVOUT,24,0,861.0985033,GWp,KHM
5,0.5451748366000001,G$/GWp,262800,h,PVOUT,24,0,3050.0,GWp,MMR
6,0.51,G$/GWp,262800,h,PVOUT,24,0,226.2988,GWp,PHL
7,0.51,G$/GWp,262800,h,PVOUT,24,0,790.7109033,GWp,THA
8,0.3488927917,G$/GWp,262800,h,PVOUT,24,0,2915.533,GWp,VNM
9,0.51,G$/GWp,262800,h,PVOUT,24,0,1341.273237,GWp,LAO
10,0.5675222781,G$/GWp,262800,h,PVOUT,24,0,192348.0,GWp,AUS
11,0.3413120807000001,G$/GWp,262800,h,PVOUT,24,0,54193.0,GWp,SAU
12,0.3315454986999999,G$/GWp,262800,h,PVOUT,24,0,8940.0,GWp,IND
13,0.616533612,G$/GWp,262800,h,PVOUT,24,0,10000.0,GWp,ARE
14,0.5451748366000001,G$/GWp,210240,h,PVOUT,24,0,6996.0,GWp,MAR
15,0.5451748366000001,G$/GWp,210240,h,PVOUT,24,0,10901.0,GWp,KEN
16,0.7014188037999999,G$/GWp,210240,h,PVOUT,24,0,26176.0,GWp,ZAF
17,0.7264457094000001,G$/GWp,262800,h,PVOUT,24,0,130.0,GWp,KOR
18,0.5451748366,G$/GWp,210240,h,PVOUT,24,0,27361.0,GWp,EGY
19,0.5451748366000001,G$/GWp,210240,h,PVOUT,24,0,6364.0,GWp,NGA
20,0.4201760595999999,G$/GWp,219000,h,PVOUT,24,0,57556.0,GWp,BRA
21,0.5451748366,G$/GWp,219000,h,PVOUT,24,0,6012.0,GWp,COL
22,0.5451748366000001,G$/GWp,219000,h,PVOUT,24,0,2822.0,GWp,PER
23,0.5509082641000003,G$/GWp,219000,h,PVOUT,24,0,4528.0,GWp,CHL
24,0.0,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,FR
25,0.0,G$/GWp,219001,h,PVOUT,24,0,0.0,GWp,DE
26,0.0,G$/GWp,219002,h,PVOUT,24,0,0.0,GWp,US
27,0.0,G$/GWp,219003,h,PVOUT,24,0,0.0,GWp,RU
28,0.0,G$/GWp,219004,h,PVOUT,24,0,0.0,GWp,CN
29,0.0,G$/GWp,219005,h,PVOUT,24,0,0.0,GWp,TR
30,0.0,G$/GWp,219006,h,PVOUT,24,0,0.0,GWp,JP
