year,demand,demand_unit,location_name
2025,68.55750546,Mt cement/year,ID
2026,69.32347426,Mt cement/year,ID
2027,70.09800096,Mt cement/year,ID
2028,70.88118117,Mt cement/year,ID
2029,71.67311157,Mt cement/year,ID
2030,72.47388994,Mt cement/year,ID
2031,73.28361512,Mt cement/year,ID
2032,74.10238707,Mt cement/year,ID
2033,74.93030688,Mt cement/year,ID
2034,75.76747674,Mt cement/year,ID
2035,76.614,Mt cement/year,ID
2036,68.15296273,Mt cement/year,ID
2037,68.50776296,Mt cement/year,ID
2038,68.86441026,Mt cement/year,ID
2039,69.22291425,Mt cement/year,ID
2040,69.58328459,Mt cement/year,ID
2041,69.94553099,Mt cement/year,ID
2042,70.30966322,Mt cement/year,ID
2043,70.67569111,Mt cement/year,ID
2044,71.04362451,Mt cement/year,ID
2045,71.41347336,Mt cement/year,ID
2046,71.78524761,Mt cement/year,ID
2047,72.1589573,Mt cement/year,ID
2048,72.5346125,Mt cement/year,ID
2049,72.91222334,Mt cement/year,ID
2050,73.2918,Mt cement/year,ID
2051,73,Mt cement/year,ID
2052,73,Mt cement/year,ID
2053,73,Mt cement/year,ID
2054,73,Mt cement/year,ID
