country_key,Mitigation_Cost($/tCO2e)_autarky,Mitigation_Cost($/tCO2e)_collaboration
"('AU',)",1.5850626429384531,1.5850626429384531
"('AU', 'ID')",18.943239770427866,-4.479284863991979
"('AU', 'ID', 'MM')",19.31723277227414,-4.535903936476612
"('AU', 'ID', 'MM', 'SG')",,-5.384012924798848
"('AU', 'ID', 'SG')",,-5.403451828663679
"('AU', 'MM')",4.526360762537484,-0.6972308273425497
"('AU', 'MM', 'SG')",,-5.033339160264862
"('AU', 'SG')",,-3.682222943637293
