country_key,Mitigation_Cost($/tCO2e)_autarky,Mitigation_Cost($/tCO2e)_collaboration
"('CN',)",15.873139217633454,15.873139217633454
"('CN', 'IN')",16.46728327685221,12.235042117860935
"('CN', 'IN', 'JP')",18.54839234467241,11.875607000814878
"('CN', 'IN', 'JP', 'KR')",19.10327504854889,10.498520714989448
"('CN', 'IN', 'KR')",17.112357087837673,10.66251602789575
"('CN', 'IN', 'RU')",16.118223863796462,12.041500526853502
"('CN', 'IN', 'RU', 'SA')",16.181664222110957,11.988703729582635
"('CN', 'IN', 'SA')",16.521103102510487,12.19179735499596
"('CN', 'JP')",18.932919389186324,15.095826917285049
"('CN', 'JP', 'KR')",19.71204147391668,13.209151739051496
"('CN', 'KR')",16.84363362356116,13.82269729937802
"('CN', 'RU')",15.434344705304085,15.428356531182532
"('CN', 'RU', 'SA')",15.56101297601274,15.419187545664178
"('CN', 'SA')",15.987344834242217,15.939848552921752
