country_key,Mitigation_Cost($/tCO2e)_autarky,Mitigation_Cost($/tCO2e)_collaboration
"('DE', 'EG', 'FR', 'TR')",28.046189072574048,16.252259791407273
"('DE', 'EG', 'TR')",19.53640592245378,10.758022651311572
"('DE', 'FR', 'MA', 'TR')",47.34176493920886,30.213556576920517
"('DE', 'FR', 'TR')",55.835793099605006,44.36761373697555
"('DE', 'MA', 'TR')",38.05622380322045,25.92420771999165
"('DE', 'TR')",46.14862075883623,39.10526940220745
"('EG', 'FR', 'TR')",15.600007874199504,4.950146353989636
"('EG', 'TR')",0.2554728524257542,-7.09082096927839
"('FR', 'MA', 'TR')",46.24376058156314,29.647090983561306
"('FR', 'TR')",63.60453520241625,50.61537116910363
"('MA', 'TR')",27.39033585792964,23.50811038902978
"('TR',)",43.06716603834637,43.06716603834637
