country_key,Mitigation_Cost($/tCO2e)_autarky,Mitigation_Cost($/tCO2e)_collaboration
"('DE',)",48.58314326105963,48.58314326105963
"('DE', 'EG')",8.706324735112215,3.11986880904051
"('DE', 'EG', 'FR')",21.666360266595575,11.428832395298269
"('DE', 'EG', 'FR', 'TR')",28.046189072574048,16.252259791407273
"('DE', 'EG', 'TR')",19.53640592245378,10.758022651311572
"('DE', 'FR')",64.6568789621104,56.49185953670344
"('DE', 'FR', 'MA')",53.11364169297213,33.518251403617214
"('DE', 'FR', 'MA', 'TR')",47.34176493920886,30.213556576920517
"('DE', 'FR', 'TR')",55.835793099605006,44.36761373697555
"('DE', 'MA')",38.39167415325627,25.46566838692941
"('DE', 'MA', 'TR')",38.05622380322045,25.92420771999165
"('DE', 'TR')",46.14862075883623,39.10526940220745
