Type,maximum_budget,maximum_budget_unit,case_study
0,0,MtCO2e,SG
1,112.66501,MtCO2e,SG
2,225.330021,MtCO2e,SG
3,337.995031,MtCO2e,SG
4,450.660041,MtCO2e,SG
5,563.325051,MtCO2e,SG
6,675.990062,MtCO2e,SG
7,788.655072,MtCO2e,SG
8,901.320082,MtCO2e,SG
9,1.01E+03,MtCO2e,SG
10,1.10E+03,MtCO2e,SG
11,0,MtCO2e,ID
12,457.300391,MtCO2e,ID
13,914.600781,MtCO2e,ID
14,1.37E+03,MtCO2e,ID
15,1.83E+03,MtCO2e,ID
16,2.29E+03,MtCO2e,ID
17,2.29E+03,MtCO2e,ID
18,2.74E+03,MtCO2e,ID
19,3.20E+03,MtCO2e,ID
20,3.66E+03,MtCO2e,ID
21,4.12E+03,MtCO2e,ID
22,0,MtCO2e,MY
23,255.89764,MtCO2e,MY
24,511.324309,MtCO2e,MY
25,511.795281,MtCO2e,MY
26,767.692921,MtCO2e,MY
27,1.02E+03,MtCO2e,MY
28,1.02E+03,MtCO2e,MY
29,1.28E+03,MtCO2e,MY
30,1.53E+03,MtCO2e,MY
31,1.54E+03,MtCO2e,MY
32,1.79E+03,MtCO2e,MY
33,0,MtCO2e,ID-SG
34,652.452529,MtCO2e,ID-SG
35,1.30E+03,MtCO2e,ID-SG
36,1.96E+03,MtCO2e,ID-SG
37,2.40E+03,MtCO2e,ID-SG
38,2.61E+03,MtCO2e,ID-SG
39,3.26E+03,MtCO2e,ID-SG
40,3.91E+03,MtCO2e,ID-SG
41,4.57E+03,MtCO2e,ID-SG
42,4.80E+03,MtCO2e,ID-SG
43,5.22E+03,MtCO2e,ID-SG
44,0,MtCO2e,MY-SG
45,418.395294,MtCO2e,MY-SG
46,585.499444,MtCO2e,MY-SG
47,836.790589,MtCO2e,MY-SG
48,1.17E+03,MtCO2e,MY-SG
49,1.26E+03,MtCO2e,MY-SG
50,1.67E+03,MtCO2e,MY-SG
51,1.76E+03,MtCO2e,MY-SG
52,2.09E+03,MtCO2e,MY-SG
53,2.34E+03,MtCO2e,MY-SG
54,2.51E+03,MtCO2e,MY-SG
55,0,MtCO2e,ID-MY
56,738.373375,MtCO2e,ID-MY
57,1.48E+03,MtCO2e,ID-MY
58,2.22E+03,MtCO2e,ID-MY
59,2.80E+03,MtCO2e,ID-MY
60,2.95E+03,MtCO2e,ID-MY
61,3.69E+03,MtCO2e,ID-MY
62,4.43E+03,MtCO2e,ID-MY
63,5.17E+03,MtCO2e,ID-MY
64,5.59E+03,MtCO2e,ID-MY
65,5.91E+03,MtCO2e,ID-MY
66,0,MtCO2e,ID-MY-SG
67,706.847002,MtCO2e,ID-MY-SG
68,1.41E+03,MtCO2e,ID-MY-SG
69,2.12E+03,MtCO2e,ID-MY-SG
70,2.70E+03,MtCO2e,ID-MY-SG
71,2.83E+03,MtCO2e,ID-MY-SG
72,3.53E+03,MtCO2e,ID-MY-SG
73,4.24E+03,MtCO2e,ID-MY-SG
74,4.95E+03,MtCO2e,ID-MY-SG
75,5.39E+03,MtCO2e,ID-MY-SG
76,5.65E+03,MtCO2e,ID-MY-SG
77,0,MtCO2e,PH
78,112.245754,MtCO2e,PH
79,224.491508,MtCO2e,PH
80,336.737262,MtCO2e,PH
81,448.983016,MtCO2e,PH
82,520.648831,MtCO2e,PH
83,561.22877,MtCO2e,PH
84,673.474524,MtCO2e,PH
85,785.720279,MtCO2e,PH
86,897.966033,MtCO2e,PH
87,1.01E+03,MtCO2e,PH
88,0,MtCO2e,VN
89,142.202034,MtCO2e,VN
90,284.404068,MtCO2e,VN
91,426.606102,MtCO2e,VN
92,568.808136,MtCO2e,VN
93,711.01017,MtCO2e,VN
94,806.419335,MtCO2e,VN
95,853.212204,MtCO2e,VN
96,995.414238,MtCO2e,VN
97,1.14E+03,MtCO2e,VN
98,1.28E+03,MtCO2e,VN
99,0,MtCO2e,TH
100,204.652771,MtCO2e,TH
101,409.305541,MtCO2e,TH
102,613.958312,MtCO2e,TH
103,793.669287,MtCO2e,TH
104,818.611082,MtCO2e,TH
105,1.02E+03,MtCO2e,TH
106,1.23E+03,MtCO2e,TH
107,1.43E+03,MtCO2e,TH
108,1.59E+03,MtCO2e,TH
109,1.64E+03,MtCO2e,TH
110,0,MtCO2e,KH
111,23.126895,MtCO2e,KH
112,46.253791,MtCO2e,KH
113,65.583334,MtCO2e,KH
114,69.380686,MtCO2e,KH
115,92.507582,MtCO2e,KH
116,115.634477,MtCO2e,KH
117,131.166668,MtCO2e,KH
118,138.761373,MtCO2e,KH
119,161.888268,MtCO2e,KH
120,185.015164,MtCO2e,KH
121,0,MtCO2e,LA
122,0.000051,MtCO2e,LA
123,0.000101,MtCO2e,LA
124,0.000152,MtCO2e,LA
125,0.000203,MtCO2e,LA
126,0.000253,MtCO2e,LA
127,0.000304,MtCO2e,LA
128,0.000354,MtCO2e,LA
129,0.000405,MtCO2e,LA
130,0.000456,MtCO2e,LA
131,0.000506,MtCO2e,LA
132,0,MtCO2e,ID-PH-SG
133,531.327509,MtCO2e,ID-PH-SG
134,1.06E+03,MtCO2e,ID-PH-SG
135,1.59E+03,MtCO2e,ID-PH-SG
136,2.13E+03,MtCO2e,ID-PH-SG
137,2.66E+03,MtCO2e,ID-PH-SG
138,2.66E+03,MtCO2e,ID-PH-SG
139,3.19E+03,MtCO2e,ID-PH-SG
140,3.72E+03,MtCO2e,ID-PH-SG
141,4.25E+03,MtCO2e,ID-PH-SG
142,4.78E+03,MtCO2e,ID-PH-SG
143,0,MtCO2e,ID-MY-PH-SG
144,687.600292,MtCO2e,ID-MY-PH-SG
145,1.38E+03,MtCO2e,ID-MY-PH-SG
146,2.06E+03,MtCO2e,ID-MY-PH-SG
147,2.75E+03,MtCO2e,ID-MY-PH-SG
148,3.13E+03,MtCO2e,ID-MY-PH-SG
149,3.44E+03,MtCO2e,ID-MY-PH-SG
150,4.13E+03,MtCO2e,ID-MY-PH-SG
151,4.81E+03,MtCO2e,ID-MY-PH-SG
152,5.50E+03,MtCO2e,ID-MY-PH-SG
153,6.19E+03,MtCO2e,ID-MY-PH-SG
154,0,MtCO2e,ID-MY-PH
155,864.649848,MtCO2e,ID-MY-PH
156,1.73E+03,MtCO2e,ID-MY-PH
157,2.59E+03,MtCO2e,ID-MY-PH
158,3.32E+03,MtCO2e,ID-MY-PH
159,3.46E+03,MtCO2e,ID-MY-PH
160,4.32E+03,MtCO2e,ID-MY-PH
161,5.19E+03,MtCO2e,ID-MY-PH
162,6.05E+03,MtCO2e,ID-MY-PH
163,6.63E+03,MtCO2e,ID-MY-PH
164,6.92E+03,MtCO2e,ID-MY-PH
