year,demand,demand_unit,location_name
2025,21.56877526,Mt steel/year,ID
2026,26.0042609,Mt steel/year,ID
2027,30.2140292,Mt steel/year,ID
2028,34.3000216,Mt steel/year,ID
2029,38.27631703,Mt steel/year,ID
2030,42.15460818,Mt steel/year,ID
2031,45.94216976,Mt steel/year,ID
2032,49.64646545,Mt steel/year,ID
2033,53.27364585,Mt steel/year,ID
2034,55.6054398,Mt steel/year,ID
2035,57.92439179,Mt steel/year,ID
2036,60.22940495,Mt steel/year,ID
2037,62.51957023,Mt steel/year,ID
2038,64.79387282,Mt steel/year,ID
2039,67.05143978,Mt steel/year,ID
2040,69.29139396,Mt steel/year,ID
2041,71.51256591,Mt steel/year,ID
2042,73.71369811,Mt steel/year,ID
2043,75.89321373,Mt steel/year,ID
2044,77.576063,Mt steel/year,ID
2045,79.24698081,Mt steel/year,ID
2046,80.90475141,Mt steel/year,ID
2047,82.54685035,Mt steel/year,ID
2048,84.17142069,Mt steel/year,ID
2049,85.77845676,Mt steel/year,ID
2050,87.36625841,Mt steel/year,ID
2051,88.93223668,Mt steel/year,ID
2052,90.47575073,Mt steel/year,ID
2053,91.99568566,Mt steel/year,ID
2054,91.99568566,Mt steel/year,ID
