Type,sizing_constant,sizing_constant_unit,usage_constant,usage_constant_unit,conversion_factor,conversion_factor_unit,lifespan,lifespan_units,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,interest_rate,location_name
0,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,SG
1,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,ID
2,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,MY
3,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,BN
4,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,KH
5,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,MM
6,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,PH
7,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,TH
8,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,VN
9,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,LA
10,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,AU
11,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,SA
12,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,IN
13,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,AE
14,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,MA
15,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,KE
16,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,ZA
17,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,KR
18,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,EG
19,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,NG
20,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,BR
21,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,CO
22,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,PE
23,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,CL
24,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,FR
25,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,DE
26,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,US
27,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,RU
28,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,CN
29,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,TR
30,1.718,G$/GWp,0.00E+00,G$/GWh,0.02,Gg/GWh,262800,h,0,GWp,0,0.1,JP
