region,group,scenario,2022,2030,2040,2050
IND,0,high,1397.7466960000004,758.5669066999999,587.9967011000001,417.41152050000017
IND,1,high,1397.746696,758.5669067,587.9967011000001,417.41152050000005
IND,2,high,1397.7466959999995,758.5669066999998,587.9967010999999,417.4115204999999
IND,3,high,1397.7466960000002,758.5669067,587.9967011000001,417.4115205000001
IND,4,high,1397.746696,758.5669067000001,587.9967011000001,417.4115205
IND,5,high,1397.746696,758.5669067,587.9967011,417.41152049999994
IND,6,high,1397.7466960000002,758.5669067,587.9967011,417.4115205
IND,7,high,1397.7466960000004,758.5669067,587.9967011,417.41152050000005
IND,8,high,1397.7466959999997,758.5669066999999,587.9967011,417.41152049999994
IND,9,high,1397.7466960000004,758.5669067000005,587.9967011000003,417.41152050000017
