country_1,country_2,country_3,country_4,emissions,cost
AU,,,,73.32741918267895,6.245371446717255
AU,,,,69.6644213242586,6.2460672874203755
AU,,,,62.99902165306195,6.2490473222227445
AU,,,,52.3327661913516,6.25689766196981
AU,,,,46.33306995134512,6.266548461653074
AU,,,,41.9998514665652,6.273597559392586
AU,,,,31.47493075592724,6.292285854398704
AU,,,,23.172261783432056,6.320174420580323
AU,,,,20.98331547699876,6.330293000326216
AU,,,,10.49165900806933,6.4193395574360474
AU,,,,0.0,7.2323375164889345
AU,MM,,,80.5555661267044,7.9195874140471725
AU,MM,,,80.55475460804647,7.919589123720907
AU,MM,,,80.55268331928343,7.91958852325729
AU,MM,,,80.54893787667227,7.919618045877712
AU,MM,,,80.54714206552065,7.919618020294889
AU,MM,,,80.54666974094252,7.919618556382359
AU,MM,,,80.54403882236777,7.9196188552207785
AU,MM,,,73.33188469242805,7.92158191343755
AU,MM,,,48.99991344798655,7.947904256793956
AU,MM,,,24.485348765889192,8.021463168223494
AU,MM,,,0.0,10.014914324952658
BN,,,,4.480923935222426,0.2974314332413758
BN,,,,3.9596387227296383,0.29963975669675985
BN,,,,3.3695194602140583,0.30786804235248966
BN,,,,3.2996985630027,0.30920166610999705
BN,,,,2.6397632407053693,0.3271961347345522
BN,,,,2.2463718015957292,0.3414375127467126
BN,,,,1.9798202183558629,0.35210218951127586
BN,,,,1.3198967579203542,0.3831817023288561
BN,,,,1.123174629857545,0.3986343687679425
BN,,,,0.6599421136985757,0.4675472195696763
BN,,,,0.0002055674666782,0.7026218993549661
BN,KH,,,13.466571111708664,2.287959145062079
BN,KH,,,12.540523203110617,2.291719822166107
BN,KH,,,11.222142629792852,2.307114755753833
BN,KH,,,9.405392403228475,2.3510709945833854
BN,KH,,,8.977714103298398,2.366518353342849
BN,KH,,,6.733285579987496,2.4875850285863197
BN,KH,,,6.27026159998247,2.5273814098640486
BN,KH,,,4.488857053312546,2.748759759653486
BN,KH,,,3.1351308006524463,3.0319130667994147
BN,KH,,,2.24442852598072,3.292540220087873
BN,KH,,,1.5101338288927955e-10,4.510164625351674
BN,KH,LA,,15.484880013218328,2.6357797257405755
BN,KH,LA,,15.183186316277256,2.636175095968782
BN,KH,LA,,12.904066796359835,2.657168305287339
BN,KH,LA,,11.3873897365936,2.689771471899019
BN,KH,LA,,10.323253436592717,2.7254881752210434
BN,KH,LA,,7.742440079964444,2.862377375777089
BN,KH,LA,,7.591593159922602,2.8743026279837594
BN,KH,LA,,5.161626719965127,3.145710257228508
BN,KH,LA,,3.7957965799942985,3.3971860622271026
BN,KH,LA,,2.580813359321595,3.729390147180135
BN,KH,LA,,6.287666566564696e-11,5.069542637823666
BN,PH,,,57.19938475746573,7.901675043218202
BN,PH,,,50.049465499316206,7.935933766804704
BN,PH,,,42.899541866386286,8.04828133699324
BN,PH,,,38.48988993304424,8.173210643729165
BN,PH,,,35.74961823327318,8.270344551591657
BN,PH,,,28.59969457991787,8.62075858415421
BN,PH,,,21.44977093317696,9.225023091419471
BN,PH,,,19.2449449698862,9.465620446523268
BN,PH,,,14.299847289903507,10.166577907169092
BN,PH,,,7.149923643141258,11.520916833489132
BN,PH,,,9.870863958891927e-11,14.821729759005882
BN,PH,TH,,123.07794899258552,23.192151084301784
BN,PH,TH,,107.69320549962868,23.28199881652658
BN,PH,TH,,94.10429913310116,23.48863545087835
