country_1,country_2,country_3,country_4,Mitigation_Cost($/tCO2e),BAU_Emissions(MtCO2e),Mitigation_Potential(MtCO2e),Mitigation_Potential_at_Average_0($/tCO2e),Mitigation_Potential_at_Average_10($/tCO2e),Mitigation_Potential_at_Average_20($/tCO2e),Mitigation_Potential_at_Average_50($/tCO2e)
AU,,,,,192.5490396691486,192.54903934577183,192.54903934577183,192.54903934577183,192.54903934577183,192.54903934577183
BN,,,,,6.593826601413699,6.593621033947021,3.95406336070833,5.273929843493345,5.470651971556155,5.933884487715123
BN,KH,,,,23.192837044763532,23.192837044577505,0.0,14.215122941573759,18.703979991449135,20.94840851878357
BN,KH,LA,,,23.619736177672166,23.61973617752876,0.0,0.0,0.0,21.03892281834707
BN,PH,,,36.347412944068886,151.31172222868773,151.31172222865055,115.5621039954054,132.06677725882466,137.01187493884026,151.31172222865055
BN,PH,TH,,,414.01418561470155,414.0141856144696,383.2446983248369,398.6294419714279,414.0141856144696,414.0141856144696
BN,TH,,,17.889907205692584,269.2962899874275,269.2962899874275,260.4999793261817,260.4999793261817,269.2962899874275,269.2962899874275
BR,,,,128.77696282704508,197.5126569965466,197.51265699653342,0.0,0.0,0.0,0.0
CL,,,,-56.12079637499503,36.889802089818595,36.889802089810985,36.889802089810985,36.889802089810985,36.889802089810985,36.889802089810985
CO,,,,37.06839516400369,38.44586954665137,38.44586954664861,36.517730245671345,36.517730245671345,36.517730245671345,38.44586954664861
CO,CL,,,-25.155276558087426,75.33567163646997,75.3356716364362,75.3356716364362,75.3356716364362,75.3356716364362,75.3356716364362
CO,PE,,,51.67152353722687,52.54386379070347,52.54386379070173,40.045985454311584,46.29492462408935,49.41939420710627,49.41939420710627
CO,PE,CL,,-11.003316777892364,89.43366588052206,89.43366588049855,89.43366588049855,89.43366588049855,89.43366588049855,89.43366588049855
DE,,,,-40.583759962427486,3.788985248635678,3.7889852486215854,3.7889852486215854,3.7889852486215854,3.7889852486215854,3.7889852486215854
EG,,,,-45.02641357575905,247.16772165928657,247.16772165926417,247.16772165926417,247.16772165926417,247.16772165926417,247.16772165926417
EG,KE,,,-47.77985571036816,258.89530209017295,258.89530209007444,258.89530209007444,258.89530209007444,258.89530209007444,258.89530209007444
EG,MA,,,-42.847492663033975,315.108270164323,315.10827016422814,315.10827016422814,315.10827016422814,315.10827016422814,315.10827016422814
EG,MA,KE,,,326.8358505952094,326.83585059509886,326.83585059509886,326.83585059509886,326.83585059509886,326.83585059509886
EG,NG,,,-40.96245199585808,518.4018544077446,518.4018544076891,518.4018544076891,518.4018544076891,518.4018544076891,518.4018544076891
EG,NG,KE,,-51.86047795107532,530.129434838631,530.1294348385347,530.1294348385347,530.1294348385347,530.1294348385347,530.1294348385347
EG,NG,MA,,,586.3424029127812,586.3424029125528,586.3424029125528,586.3424029125528,586.3424029125528,586.3424029125528
ID,,,,31.982801572930146,703.6106954223476,703.6106954223476,654.0361459942834,678.8234206196532,678.8234206196532,703.6106954223476
ID,BN,,,27.12513150007587,710.2045220237613,710.2045220237613,659.5069909583125,684.8557565062745,684.8557565062745,710.2045220237613
ID,BN,KH,,24.371861846892994,726.8035324671112,726.8035324670491,673.86233966722,700.3329360739575,700.3329360739575,726.8035324670491
ID,BN,KH,LA,,727.2304316000198,727.2304315997902,673.7846615668196,700.5075465801115,700.5075465801115,727.2304315997902
ID,BN,LA,,,710.63142115667,710.6314211564799,659.4291216234046,685.0302713867528,685.0302713867528,710.6314211564799
ID,BN,TH,,,972.9069854097752,972.885404920593,905.7391370830209,939.3214105357171,972.885404920593,972.885404920593
ID,KH,,,24.773057823945518,720.2097058656974,720.2097058656348,668.3916853661617,694.3006956159322,694.3006956159322,720.2097058656348
ID,KH,LA,,,720.636604998606,720.6366049984559,642.15270836551,694.4753061220164,694.4753061220164,720.6366049984559
ID,KH,VN,,,975.1667380099184,975.1667380096992,902.4168450100838,938.7917915100281,975.1667380096992,975.1667380096992
ID,LA,,,28.352957082545224,704.0375945552562,704.0375945551833,628.9189036891275,678.998030928758,678.998030928758,704.0375945551833
ID,MY,,,22.54429098013279,861.2227843325546,861.2227843325546,777.2663567614528,819.2445702693876,819.2445702693876,861.2227843325546
ID,MY,PH,,16.972207696197554,1005.9406799598287,1005.9406799598287,906.9251953260009,956.4329373312506,1005.9406799598287,1005.9406799598287
ID,MY,PH,KR,,1307.9117397470168,1307.9117397468224,1176.883970547819,1242.3978551472667,1307.9117397468224,1307.9117397468224
ID,PH,,,17.971105082843547,848.3285910496217,848.3285910496217,785.5773668088018,816.9529787183594,848.3285910496217,848.3285910496217
KE,,,,6.187243951540543,11.727580430886398,11.727580430873946,11.079075129229022,11.727580430873946,11.727580430873946,11.727580430873946
KE,ZA,EG,NG,,762.4567389531333,762.4567389528809,762.4567389528809,762.4567389528809,762.4567389528809,762.4567389528809
KH,,,,118.21228567464208,16.599010443349833,16.599010443349833,0.0,0.0,10.189094732004673,12.753061014712685
KH,TH,,,20.95204264917082,279.3014738293636,279.3014738293636,260.5883633544652,269.9449185976757,269.9449185976757,279.3014738293636
KH,TH,LA,,22.34785765509018,279.72837296227226,279.72837296227226,260.5106852287604,270.1195291014523,270.1195291014523,279.72837296227226
KH,TH,VN,,23.548677379764413,534.2585059735846,534.2585059735846,494.61352307288155,514.4360145051804,514.4360145051804,534.2585059735846
KH,TH,VN,LA,24.274890705158654,534.6854051064932,534.6854051064932,494.5358452480711,514.6106251683991,514.6106251683991,534.6854051064932
KH,VN,LA,,33.55829897099482,271.9829417204795,271.9829417204795,224.6231012820774,248.3030214840725,260.1429816076605,271.9829417204795
KR,,,,,301.97105978718804,301.9708819225882,189.92775724662414,207.12796199104503,221.94031106221513,253.95255392978632
KR,ID,,,52.72078098396245,1005.5817552095357,1005.5817552094837,850.4111591097272,896.4066596431487,927.996457176663,966.789106176765
