country_1,country_2,country_3,country_4,Mitigation_Cost($/tCO2e),BAU_Emissions(MtCO2e),Mitigation_Potential(MtCO2e),Mitigation_Potential_at_Average_0($/tCO2e),Mitigation_Potential_at_Average_10($/tCO2e),Mitigation_Potential_at_Average_20($/tCO2e),Mitigation_Potential_at_Average_50($/tCO2e)
AU,,,,1.5850626429384533,231.72266521841908,231.72266521841908,221.23100621034976,231.72266521841908,231.72266521841908,231.72266521841908
AU,MM,,,4.526360762537484,252.67048839277123,252.67048839277123,228.18513962688203,252.67048839277123,252.67048839277123,252.67048839277123
BN,,,,,6.593826601405938,6.59362103393926,3.954063360700569,5.273929843485584,5.470651971548394,5.933884487707362
BN,KH,,,,28.454695627993594,28.454695627842582,19.476981524695198,22.184434028011125,23.965838574681047,26.210267102012875
BN,KH,LA,,86.0103086130037,28.881594757537822,28.881594757474947,0.0,18.558341320945104,21.29000159761522,26.300781398216227
BN,PH,,,28.18867001189432,180.14069822250167,180.14069822240296,160.89575325261546,165.84085093259816,172.99077457936042,180.14069822240296
BN,PH,TH,,,444.6967769973213,444.69677699708956,413.92728970755917,429.31203335413124,429.31203335413124,444.69677699708956
BN,TH,,,19.475315090157178,271.1499053762256,271.1499053762256,262.35359471514454,262.35359471514454,271.1499053762256,271.1499053762256
BR,,,,,233.30492838148103,233.30492511342126,233.30492511342126,233.30492511342126,233.30492511342126,233.30492511342126
BR,CL,,,,273.78426004421584,273.7842463219339,273.7842463219339,273.7842463219339,273.7842463219339,273.7842463219339
BR,CO,,,,276.74975171519907,276.749739563407,276.749739563407,276.749739563407,276.749739563407,276.749739563407
BR,CO,CL,,,317.2290833779339,317.2290558297734,317.2290558297734,317.2290558297734,317.2290558297734,317.2290558297734
BR,CO,PE,,,306.86209508778603,306.8620655579144,306.8620655579144,306.8620655579144,306.8620655579144,306.8620655579144
BR,CO,PE,CL,,347.34142675052084,347.3414075249872,347.3414075249872,347.3414075249872,347.3414075249872,347.3414075249872
