region,group,scenario,2022,2030,2040,2050
JPN,0,high,3797.774834652868,1733.3151832093386,1504.6807810801652,1276.088851530636
JPN,1,high,3811.377658742037,1739.5235506231052,1510.070228550469,1280.6595311852477
JPN,2,high,3811.6401070892834,1739.6433327915734,1510.1742107509165,1280.7477163527647
JPN,3,high,3811.640107089267,1739.6433327915765,1510.174210750914,1280.7477163527597
JPN,4,high,3811.640107089247,1739.6433327915774,1510.1742107509021,1280.7477163527506
JPN,5,high,3811.640107089254,1739.64333279157,1510.174210750901,1280.7477163527644
JPN,6,high,3811.640107089262,1739.643332791565,1510.1742107509035,1280.747716352766
JPN,7,high,3811.6401070893144,1739.6433327915736,1510.1742107509126,1280.7477163527635
JPN,8,high,3811.6401070892616,1739.6433327915329,1510.1742107508992,1280.7477163527567
JPN,9,high,3811.640107089251,1739.6433327915474,1510.1742107509112,1280.747716352766
