region,scenario,group,2021,2030,2040,2050
THA,high,0,2292.082126,1520.220804,1335.671357,1151.387788
THA,high,1,2808.736918,1862.891494,1636.743033,1410.920381
THA,high,2,2874.200869,1906.310383,1674.891022,1443.805064
THA,high,3,2920.989339,1937.342781,1702.156197,1467.308442
THA,high,4,2968.949467,1969.15228,1730.104135,1491.400382
THA,high,5,3213.411328,2131.291325,1872.560071,1614.201567
THA,high,6,3610.872983,2394.907305,2104.174001,1813.859551
THA,high,7,3811.90662,2528.242631,2221.322888,1914.845319
THA,high,8,3957.951293,2625.106591,2306.427905,1988.208333
THA,high,9,4871.414289,3230.95986,2838.732722,2447.07066
THA,low,0,1249.489017,942.359095,849.9927787,755.529701
THA,low,1,1531.134462,1154.774844,1041.588375,925.832517
THA,low,2,1566.821005,1181.689478,1065.864942,947.4111327
THA,low,3,1592.326932,1200.925935,1083.215918,962.8338256
THA,low,4,1618.471568,1220.644104,1101.00139,978.6427274
THA,low,5,1751.735733,1321.151348,1191.657311,1059.223695
THA,low,6,1968.405095,1484.562424,1339.051479,1190.237363
THA,low,7,2077.995113,1567.214731,1413.602533,1256.503262
THA,low,8,2157.608847,1627.259057,1467.761552,1304.643374
THA,low,9,2655.567435,2002.817224,1806.50899,1605.744462
THA,medium,0,1566.93225,1266.85067,1113.059465,959.4898234
THA,medium,1,1920.132097,1552.409579,1363.952528,1175.766985
THA,medium,2,1964.885107,1588.591986,1395.742519,1203.170887
THA,medium,3,1996.871031,1614.452318,1418.463498,1222.757035
THA,medium,4,2029.657932,1640.960234,1441.753446,1242.833652
THA,medium,5,2196.778983,1776.076105,1560.466727,1345.167973
THA,medium,6,2468.495026,1995.756089,1753.478335,1511.549626
THA,medium,7,2605.927313,2106.86886,1851.102407,1595.704433
THA,medium,8,2705.767588,2187.588827,1922.023255,1656.840278
THA,medium,9,3330.236759,2692.466551,2365.610603,2039.225551
