Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,0.51,G$/GWp,262800,h,PVOUT,24,0,1.032536659,GWp,0.02,0.1,GWp,0.005,SGP
1,0.537290183,G$/GWp,262800,h,PVOUT,24,0,1.696863494,GWp,0.02,0.1,GWp,0.005,IDN
2,0.51,G$/GWp,262800,h,PVOUT,24,0,3.139292062,GWp,0.02,0.1,GWp,0.005,MYS
3,0.51,G$/GWp,262800,h,PVOUT,24,0,0.00834215,GWp,0.02,0.1,GWp,0.005,BRN
4,0.51,G$/GWp,262800,h,PVOUT,24,0,0.840733944,GWp,0.02,0.1,GWp,0.005,KHM
5,0.545174837,G$/GWp,219000,h,PVOUT,24,0,0.315711294,GWp,0.02,0.1,GWp,0.005,MMR
6,0.51,G$/GWp,262800,h,PVOUT,24,0,3.985433676,GWp,0.02,0.1,GWp,0.005,PHL
7,0.51,G$/GWp,262800,h,PVOUT,24,0,5.548495179,GWp,0.02,0.1,GWp,0.005,THA
8,0.348892792,G$/GWp,262800,h,PVOUT,24,0,30.35247669,GWp,0.02,0.1,GWp,0.005,VNM
9,0.51,G$/GWp,262800,h,PVOUT,24,0,0.102911416,GWp,0.02,0.1,GWp,0.005,LAO
10,0.567522278,G$/GWp,219000,h,PVOUT,24,0,9.66024872,GWp,0.02,0.1,GWp,0.005,AUS
11,0.341312081,G$/GWp,219000,h,PVOUT,24,0,0.054050541,GWp,0.02,0.1,GWp,0.005,SAU
12,0.331545499,G$/GWp,219000,h,PVOUT,24,0,15.33495559,GWp,0.02,0.1,GWp,0.005,IND
13,0.616533612,G$/GWp,219000,h,PVOUT,24,0,6.18,GWp,0.02,0.1,GWp,0.005,ARE
14,0.545174837,G$/GWp,210240,h,PVOUT,24,0,1.143238444,GWp,0.02,0.1,GWp,0.005,MAR
15,0.545174837,G$/GWp,210240,h,PVOUT,24,0,2.089114026,GWp,0.02,0.1,GWp,0.005,KEN
16,0.701418804,G$/GWp,210240,h,PVOUT,24,0,8.677732573,GWp,0.02,0.1,GWp,0.005,ZAF
17,0.726445709,G$/GWp,262800,h,PVOUT,24,0,30.9912449,GWp,0.02,0.1,GWp,0.005,KOR
18,0.545174837,G$/GWp,210240,h,PVOUT,24,0,5.170633584,GWp,0.02,0.1,GWp,0.005,EGY
19,0.545174837,G$/GWp,210240,h,PVOUT,24,0,0.711013604,GWp,0.02,0.1,GWp,0.005,NGA
20,0.42017606,G$/GWp,219000,h,PVOUT,24,0,80.42658823,GWp,0.02,0.1,GWp,0.005,BRA
21,0.545174837,G$/GWp,219000,h,PVOUT,24,0,1.513060403,GWp,0.02,0.1,GWp,0.005,COL
22,0.545174837,G$/GWp,219000,h,PVOUT,24,0,0.744756757,GWp,0.02,0.1,GWp,0.005,PER
23,0.550908264,G$/GWp,219000,h,PVOUT,24,0,17.41105844,GWp,0.02,0.1,GWp,0.005,CHL
24,0.666387113,G$/GWp,219000,h,PVOUT,24,0,9.794684958,GWp,0.02,0.1,GWp,0.005,FRA
25,0.600804817,G$/GWp,219000,h,PVOUT,24,0,441.9726723,GWp,0.02,0.1,GWp,0.005,DEU
26,0.651909348,G$/GWp,219000,h,PVOUT,24,0,33.17236287,GWp,0.02,0.1,GWp,0.005,USA
27,0.800803187,G$/GWp,219000,h,PVOUT,24,0,0.109765225,GWp,0.02,0.1,GWp,0.005,RUS
28,0.392363515,G$/GWp,219000,h,PVOUT,24,0,86.75025986,GWp,0.02,0.1,GWp,0.005,CHN
29,0.371426361,G$/GWp,219000,h,PVOUT,24,0,0.614367815,GWp,0.02,0.1,GWp,0.005,TUR
30,0.812073485,G$/GWp,219000,h,PVOUT,24,0,45.7475852,GWp,0.02,0.1,GWp,0.005,JPN
