region,scenario,group,2021,2030,2040,2050
VNM,high,0,7717.687784,3784.646084,3548.105704,3311.565323
VNM,high,1,8968.030493,4397.796651,4122.93436,3848.072069
VNM,high,2,9418.883775,4618.888791,4330.208241,4041.527692
VNM,high,3,10282.84549,5042.563525,4727.403305,4412.243085
VNM,high,4,11505.41215,5642.093107,5289.462288,4936.831469
VNM,high,5,12593.16944,6175.51406,5789.544432,5403.574803
VNM,high,6,14325.34971,7024.95102,6585.891582,6146.832143
VNM,high,7,15113.57541,7411.485876,6948.268008,6485.050141
VNM,high,8,16706.69779,8192.730796,7680.685121,7168.639447
VNM,high,9,21097.80351,10346.06759,9699.438364,9052.809139
VNM,low,0,2074.191353,2018.967413,1841.058814,1663.145677
VNM,low,1,2410.231124,2346.060353,2139.328779,1932.591933
VNM,low,2,2531.40161,2464.004757,2246.880086,2029.749878
VNM,low,3,2763.598347,2690.019413,2452.978645,2215.931832
VNM,low,4,3092.17308,3009.846065,2744.622618,2479.392406
VNM,low,5,3384.516698,3294.406233,3004.107739,2713.801842
VNM,low,6,3850.05423,3747.549143,3417.320326,3087.083089
VNM,low,7,4061.896298,3953.75106,3605.352017,3256.94409
VNM,low,8,4490.060893,4370.516063,3985.392268,3600.258652
VNM,low,9,5670.206263,5519.240862,5032.893036,4546.532808
VNM,medium,0,3208.915724,2909.688331,2702.759499,2494.718516
VNM,medium,1,3728.792207,3381.08698,3140.633605,2898.887899
VNM,medium,2,3916.251227,3551.065679,3298.523898,3044.624817
VNM,medium,3,4275.475442,3876.792683,3601.086116,3323.897748
VNM,medium,4,4783.803,4337.71933,4029.232959,3719.08861
VNM,medium,5,5236.078549,4747.820747,4410.16912,4070.702763
VNM,medium,6,5956.296915,5400.879648,5016.784312,4630.624633
VNM,medium,7,6284.031067,5698.052999,5292.823532,4885.416135
VNM,medium,8,6946.430946,6298.684915,5850.740199,5400.387978
VNM,medium,9,8772.196457,7954.200066,7388.51978,6819.799211
