Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,SGP
1,8.086244012,G$/GWp,262800,h,WINDOUT,24,0,325.407,GWp,0.02,0.1,GWp,0.005,IDN
2,8.137653711,G$/GWp,262800,h,WINDOUT,24,0,57.513,GWp,0.02,0.1,GWp,0.005,MYS
3,7.739954646,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,0.02,0.1,GWp,0.005,BRN
4,7.461154681,G$/GWp,262800,h,WINDOUT,24,0,10.98,GWp,0.02,0.1,GWp,0.005,KHM
5,3.938162823,G$/GWp,219000,h,WINDOUT,24,0,42.371,GWp,0.02,0.1,GWp,0.005,MMR
6,6.592215025,G$/GWp,262800,h,WINDOUT,24,0,58.86,GWp,0.02,0.1,GWp,0.005,PHL
7,6.901919325,G$/GWp,262800,h,WINDOUT,24,0,47.027,GWp,0.02,0.1,GWp,0.005,THA
8,6.146832143,G$/GWp,262800,h,WINDOUT,24,0,103.742,GWp,0.02,0.1,GWp,0.005,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,0.02,0.1,GWp,0.005,LAO
10,4.36991425,G$/GWp,219000,h,WINDOUT,24,0,746.067,GWp,0.02,0.1,GWp,0.005,AUS
11,4.046210936,G$/GWp,219000,h,WINDOUT,24,0,41.734,GWp,0.02,0.1,GWp,0.005,SAU
12,4.885289305,G$/GWp,219000,h,WINDOUT,24,0,239.665,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,4.23279412,G$/GWp,219000,h,WINDOUT,24,0,23.601,GWp,0.02,0.1,GWp,0.005,MAR
15,4.497920009,G$/GWp,219000,h,WINDOUT,24,0,2.668,GWp,0.02,0.1,GWp,0.005,KEN
16,100,G$/GWp,219000,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,ZAF
17,5.216291021,G$/GWp,262800,h,WINDOUT,24,0,17.302,GWp,0.02,0.1,GWp,0.005,KOR
18,3.820357422,G$/GWp,219000,h,WINDOUT,24,0,16.438,GWp,0.02,0.1,GWp,0.005,EGY
19,4.641037443,G$/GWp,219000,h,WINDOUT,24,0,21.959,GWp,0.02,0.1,GWp,0.005,NGA
20,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,BRA
21,5.379322466,G$/GWp,262800,h,WINDOUT,24,0,14.091,GWp,0.02,0.1,GWp,0.005,COL
22,4.748342671,G$/GWp,262800,h,WINDOUT,24,0,57.295,GWp,0.02,0.1,GWp,0.005,PER
23,4.410171936,G$/GWp,262800,h,WINDOUT,24,0,139.324,GWp,0.02,0.1,GWp,0.005,CHL
24,4.332048123,G$/GWp,219000,h,WINDOUT,24,0,52.966,GWp,0.02,0.1,GWp,0.005,FRA
25,3.263260181,G$/GWp,219000,h,WINDOUT,24,0,8.314,GWp,0.02,0.1,GWp,0.005,DEU
26,4.102780884,G$/GWp,219000,h,WINDOUT,24,0,334.24,GWp,0.02,0.1,GWp,0.005,USA
27,4.739123253,G$/GWp,219000,h,WINDOUT,24,0,1679.987,GWp,0.02,0.1,GWp,0.005,RUS
28,3.785696475,G$/GWp,219000,h,WINDOUT,24,0,232.207,GWp,0.02,0.1,GWp,0.005,CHN
29,4.346442107,G$/GWp,219000,h,WINDOUT,24,0,10.224,GWp,0.02,0.1,GWp,0.005,TUR
30,5.58398434,G$/GWp,219000,h,WINDOUT,24,0,134.19,GWp,0.02,0.1,GWp,0.005,JPN
