region,scenario,group,2021,2030,2040,2050
PHL,high,0,7872.722069,3860.672728,3619.380682,3378.088637
PHL,high,1,9094.183669,4459.660403,4180.931628,3902.202852
PHL,high,2,9796.570947,4804.101294,4503.844964,4203.588633
PHL,high,3,10033.9191,4920.493507,4612.962663,4305.431818
PHL,high,4,10243.22119,5023.132324,4709.186553,4395.240783
PHL,high,5,12617.95078,6187.666483,5800.937327,5414.208172
PHL,high,6,15363.32592,7533.960029,7063.087527,6592.215025
PHL,high,7,15375.90919,7540.13069,7068.872522,6597.614354
PHL,high,8,17744.08001,8701.448518,8157.607986,7613.767453
PHL,high,9,2896738.902,1420520.219,1331737.706,1242955.192
PHL,low,0,2115.858078,2059.52479,1878.04233,1696.555243
PHL,low,1,2444.135816,2379.062355,2169.42269,1959.77768
PHL,low,2,2632.908109,2562.808714,2336.977575,2111.140678
PHL,low,3,2696.697355,2624.899614,2393.597112,2162.288712
PHL,low,4,2752.948995,2679.653592,2443.526245,2207.392878
PHL,low,5,3391.176884,3300.889096,3010.019341,2719.142169
PHL,low,6,4129.018778,4019.086449,3664.930143,3310.764805
PHL,low,7,4132.400635,4022.378266,3667.93189,3313.476475
PHL,low,8,4768.865801,4641.897978,4232.860386,3823.812364
PHL,low,9,778522.1367,757794.5121,691018.7139,624241.213
PHL,medium,0,3273.376994,2968.138668,2757.053013,2544.832865
PHL,medium,1,3781.245082,3428.648689,3184.812859,2939.66652
PHL,medium,2,4073.288715,3693.459617,3430.791181,3166.711018
PHL,medium,3,4171.975037,3782.943562,3513.91128,3243.433068
PHL,medium,4,4259.000166,3861.853706,3587.209557,3311.089317
PHL,medium,5,5246.382313,4757.163698,4418.847626,4078.713254
PHL,medium,6,6387.874128,5792.212824,5380.286976,4966.147208
PHL,medium,7,6393.106092,5796.956914,5384.69368,4970.214712
PHL,medium,8,7377.761185,6689.794146,6214.034844,5735.718546
PHL,medium,9,1204426.931,1092115.62,1014447.436,936361.8195
