region,group,scenario,2022,2030,2040,2050
FRA,0,high,7027958.310250115,7027958.310250115,7027958.310250115,7027958.310250115
FRA,1,high,5732671.072110044,5732671.072110044,5732671.072110044,5732671.072110044
FRA,2,high,8082030.4986909805,8082030.4986909805,8082030.4986909805,8082030.4986909805
FRA,3,high,6624490.7763343835,6624490.7763343835,6624490.7763343835,6624490.7763343835
FRA,4,high,5537825.90739575,5537825.90739575,5537825.90739575,5537825.90739575
FRA,5,high,6122130.674613806,6122130.674613806,6122130.674613806,6122130.674613806
FRA,6,high,7550161.338250624,7550161.338250624,7550161.338250624,7550161.338250624
FRA,7,high,8903685.339531876,8903685.339531876,8903685.339531876,8903685.339531876
FRA,8,high,16640567.515666349,16640567.515666349,16640567.515666349,16640567.515666349
FRA,9,high,11995913.904822446,11995913.904822446,11995913.904822446,11995913.904822446
