Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,1,1,0,720,1,0
1,RE_PV_Rooftop_Lim,1,1,0,720,1,0
2,RE_PV_Openfield_Lim,1,1,0,720,1,0
3,RE_WIND_Offshore_Lim,1,1,0,720,1,0
4,RE_WIND_Onshore_Lim,1,1,0,720,1,0
5,PP_CO2,1,1,0,720,1,0
6,BESS,1,1,0,720,1,0
7,EL_to_HTH,1,1,0,720,1,0
8,EL_to_NH3,1,1,0,720,1,0
9,NH3_Storage,1,1,0,720,1,0
10,NH3_to_EL,1,1,0,720,1,0
11,NH3_to_HTH,1,1,0,720,1,0
12,FF_to_HTH,1,1,0,720,1,0
13,EL_Demand,1,1,0,720,1,0
14,HTH_Demand,1,1,0,720,1,0
15,RE_PV_Openfield_Lim,5,5,0,720,1,0
16,RE_PV_Rooftop_Lim,5,5,0,720,1,0
17,RE_WIND_Onshore_Lim_0,5,5,0,720,1,0
18,RE_WIND_Onshore_Lim_1,5,5,0,720,1,0
19,RE_WIND_Onshore_Lim_2,5,5,0,720,1,0
20,RE_WIND_Onshore_Lim_3,5,5,0,720,1,0
21,RE_WIND_Onshore_Lim_4,5,5,0,720,1,0
22,RE_WIND_Onshore_Lim_5,5,5,0,720,1,0
23,RE_WIND_Onshore_Lim_6,5,5,0,720,1,0
24,RE_WIND_Onshore_Lim_7,5,5,0,720,1,0
25,RE_WIND_Onshore_Lim_8,5,5,0,720,1,0
26,RE_WIND_Onshore_Lim_9,5,5,0,720,1,0
27,RE_WIND_Offshore_Lim_0,5,5,0,720,1,0
28,RE_WIND_Offshore_Lim_1,5,5,0,720,1,0
29,RE_WIND_Offshore_Lim_2,5,5,0,720,1,0
30,RE_WIND_Offshore_Lim_3,5,5,0,720,1,0
31,RE_WIND_Offshore_Lim_4,5,5,0,720,1,0
32,RE_WIND_Offshore_Lim_5,5,5,0,720,1,0
33,RE_WIND_Offshore_Lim_6,5,5,0,720,1,0
34,RE_WIND_Offshore_Lim_7,5,5,0,720,1,0
35,RE_WIND_Offshore_Lim_8,5,5,0,720,1,0
36,RE_WIND_Offshore_Lim_9,5,5,0,720,1,0
37,HYDRO,5,5,0,720,1,0
38,PP_CO2,5,5,0,720,1,0
39,BESS,5,5,0,720,1,0
40,EL_to_HTH,5,5,0,720,1,0
41,EL_to_NH3,5,5,0,720,1,0
42,NH3_Storage,5,5,0,720,1,0
43,NH3_to_EL,5,5,0,720,1,0
44,NH3_to_HTH,5,5,0,720,1,0
45,FF_to_HTH,5,5,0,720,1,0
46,EL_Demand,5,5,0,720,1,0
47,HTH_Demand,5,5,0,720,1,0
48,EL_Transport,1,5,0,720,1,0
49,NH3_Transport,1,5,0,720,96,108
