country_1,country_2,country_3,country_4,emissions,cost,marginal_abatement_cost,average_abatement_cost
BN,,,,4.480923935222426,0.2974314332413758,-16.064889977483546,-16.064889977483546
BN,,,,3.9596387227296383,0.29963975669675985,4.236305581782886,-12.055957421043889
BN,,,,3.3695194602140583,0.30786804235248966,13.943428351506432,-7.305740265818022
BN,,,,3.2996985630027,0.30920166610999705,19.100639074721613,-6.7469912845220525
BN,,,,2.6397632407053693,0.3271961347345522,27.267018473740453,-1.0780566687271569
BN,,,,2.2463718015957292,0.3414375127467126,36.201545321862525,2.2909548694691306
BN,,,,1.9798202183558629,0.35210218951127586,40.009804612438856,4.467337085144057
BN,,,,1.3198967579203542,0.3831817023288561,47.0956325708889,9.79573520571004
BN,,,,1.123174629857545,0.3986343687679425,78.55072833571964,12.265606944387383
BN,,,,0.6599421136985757,0.4675472195696763,148.7651414739736,22.911492486688186
BN,,,,0.0002055674666782,0.7026218993549661,356.3159887502443,56.242590774971056
BN,KH,,,13.466571111708664,2.287959145062079,-20.88775411199642,-20.88775411199642
BN,KH,,,12.540523203110617,2.291719822166107,4.060996271479136,-19.65953824602805
BN,KH,,,11.222142629792852,2.307114755753833,11.677154456989852,-17.607111844326564
BN,KH,,,9.405392403228475,2.3510709945833854,24.1949818895452,-14.146610606028805
BN,KH,,,8.977714103298398,2.366518353342849,36.11910812867756,-13.185766728674944
BN,KH,,,6.733285579987496,2.4875850285863197,53.94098051511014,-7.065818695392363
BN,KH,,,6.27026159998247,2.5273814098640486,85.9488557748065,-5.348666353997227
BN,KH,,,4.488857053312546,2.748759759653486,124.27180013842003,3.247207954831635
BN,KH,,,3.1351308006524463,3.0319130667994147,209.1658535760289,13.126547839844422
BN,KH,,,2.24442852598072,3.292540220087873,292.6086086223525,21.67899580318866
BN,KH,,,1.5101338288927955e-10,4.510164625351674,542.5097708619066,58.96504534575542
BN,KH,LA,,15.484880013218328,2.6357797257405755,-20.533900674802766,-20.533900674802766
BN,KH,LA,,15.183186316277256,2.636175095968782,1.3105021159380892,-20.244531871613496
BN,KH,LA,,12.904066796359835,2.657168305287339,9.211105049601619,-17.564995108816753
BN,KH,LA,,11.3873897365936,2.689771471899019,21.496446063939967,-15.335328340420663
BN,KH,LA,,10.323253436592717,2.7254881752210434,33.564030587054376,-13.452351219343075
BN,KH,LA,,7.742440079964444,2.862377375777089,53.041108224457474,-7.77291827643299
BN,KH,LA,,7.591593159922602,2.8743026279837594,79.05532445317773,-7.341593755434302
BN,KH,LA,,5.161626719965127,3.145710257228508,111.69192495082294,1.4779032187992245
BN,KH,LA,,3.7957965799942985,3.3971860622271026,184.11938471643748,8.780046063781517
BN,KH,LA,,2.580813359321595,3.729390147180135,273.42277596977857,17.86885633594624
BN,KH,LA,,6.287666566564696e-11,5.069542637823666,519.2752454708542,51.96012922761046
BN,PH,,,57.19938475746573,7.901675043218202,-17.883036782297946,-17.883036782297946
BN,PH,,,50.049465499316206,7.935933766804704,4.791483980389425,-16.74454675851234
BN,PH,,,42.899541866386286,8.04828133699324,15.713114706722816,-15.192758719863868
BN,PH,,,38.48988993304424,8.173210643729165,28.330877045264266,-13.946171300099586
BN,PH,,,35.74961823327318,8.270344551591657,35.44681641262343,-13.082416812268924
BN,PH,,,28.59969457991787,8.62075858415421,49.00947891913648,-10.372908706964699
BN,PH,,,21.44977093317696,9.225023091419471,84.51342099865617,-6.405474917414425
BN,PH,,,19.2449449698862,9.465620446523268,109.12305964716519,-4.934841849803657
BN,PH,,,14.299847289903507,10.166577907169092,141.74795039605323,-0.8632042262544506
BN,PH,,,7.149923643141258,11.520916833489132,189.4200544272014,6.479019458354667
BN,PH,,,9.870863958891927e-11,14.821729759005882,461.6570875870411,23.389891231145704
BN,PH,TH,,123.07794899258552,23.192151084301784,-22.101149130046885,-22.101149130046885
BN,PH,TH,,107.69320549962868,23.28199881652658,5.840053964236026,-20.895044037778195
BN,PH,TH,,94.10429913310116,23.48863545087835,15.206274057547338,-19.569156139521564
BN,PH,TH,,92.30846186650491,23.526341222263607,20.996207221339418,-19.373218086460138
BN,PH,TH,,76.92371823316475,23.987120668625625,29.950414341872186,-17.41332368531756
BN,PH,TH,,61.53897456643938,24.723259815150044,47.848645545948536,-14.919217365443
BN,PH,TH,,47.052149566547214,25.85672500389393,78.24110450373526,-11.6831713598314
BN,PH,TH,,46.15423093324134,25.95026244593177,104.17140102490227,-11.43427037373479
BN,PH,TH,,30.769487289762132,28.054110242706557,136.74896673799947,-6.173291144550496
BN,PH,TH,,15.38474364319008,31.197336248463152,204.30798705293685,1.0432573794021198
BN,PH,TH,,2.3175270842880271e-10,39.612689272466376,546.9933863899626,19.141167019122566
BN,TH,,,70.37020591365427,15.58875047076476,-24.781048799753616,-24.781048799753616
BN,TH,,,61.57417311003262,15.647160157677826,6.640458058434784,-23.50550161342294
BN,TH,,,56.934286126747104,15.708767448286189,13.277756727759439,-22.734352017033462
BN,TH,,,52.77786384880663,15.78787966707275,19.033729851376222,-21.964398111036186
BN,TH,,,43.98155327905668,16.037387199614827,28.365020830451442,-20.074656914236126
BN,TH,,,35.185242688797615,16.436501718805726,45.37294529286789,-17.70619617926935
BN,TH,,,28.46714399837528,16.873153332505684,64.99630830408474,-15.481880281729298
BN,TH,,,26.38893198036055,17.065771099800095,92.68436792046595,-14.589367018842223
BN,TH,,,17.592621317570384,18.27411267346148,137.36913349057448,-9.461345545597162
BN,TH,,,8.796310661081085,20.203308125761716,219.3187039019603,-1.9929199251375027
BN,TH,,,0.0,25.49428868578038,601.4999655967574,17.08505181193986
CL,,,,2.2899310363709535,2.553997040091822,-85.78731524322288,-85.78731524322288
CL,,,,2.2899310327994624,2.5539970485932386,2380.3549315536397,-85.78731508911491
CL,,,,2.2209375173455044,2.5542390895281155,3.50816932989043,-85.6796509170083
CL,,,,1.9433203277878068,2.5568533586228854,9.416812766295186,-85.22051396092161
CL,,,,1.6657031382686176,2.564156897516752,26.307949109764586,-84.68462868887481
CL,,,,1.388085948620066,2.577367075489156,47.58414991927282,-84.05212699240472
CL,,,,1.1104687589862996,2.599614314922582,80.13639019534321,-83.27072356710569
CL,,,,0.8328515689949577,2.6395604100813133,143.88912718256736,-82.1947487164533
CL,,,,0.5552343793312663,2.7247429114682897,306.8343912355266,-80.36074404533493
CL,,,,0.2776171897300225,2.8515261547211255,456.6836925153705,-77.84082877939264
CL,,,,7.608446422703781e-12,3.1080384957439917,923.9785954153263,-73.16205403584995
CO,,,,10.84739269811718,5.447878845002203,-104.02653640514802,-104.02653640514802
CO,,,,10.847392667848837,5.447878848685068,121.67384349433395,-104.02653623773283
CO,,,,10.847392502971337,5.447878858330138,58.49839806017341,-104.02653558105057
CO,,,,10.33323871171141,5.449087397278736,2.350539797900428,-102.70287358684863
CO,,,,9.640696502623149,5.454432005255674,7.717375066531144,-100.88270174709133
CO,,,,7.712557203186827,5.502494475294782,24.92686604809032,-95.36215831146292
CO,,,,5.784417903141113,5.598077070684407,49.572453290775655,-89.2697411847299
CO,,,,5.166619356627161,5.655153716558715,92.38714819964243,-86.8555729935021
CO,,,,3.8562786032618352,5.824761262803503,129.43774038103288,-80.92599361394124
CO,,,,1.928139300980028,6.472259766355784,335.8152094021504,-64.7665600589051
CO,,,,2.7629080265854997e-12,8.321886622368053,959.280719538675,-26.54064269327991
CO,CL,,,13.13732382389156,8.0018759011986,-93.38506683253483,-93.38506683253483
CO,CL,,,13.137323773977226,8.001875901938044,14.814262803676906,-93.385066777403
CO,CL,,,13.137323346452815,8.001875942913331,95.84315223435044,-93.38506595155614
CO,CL,,,11.94911274284999,8.007326022754937,4.586796166504186,-92.21094899874068
CO,CL,,,11.11083275958524,8.019132268388828,14.083893054336652,-91.31977726622848
CO,CL,,,9.95759395322317,8.047648258578546,24.72687359495998,-89.99655897334708
CO,CL,,,7.966075163288589,8.126703708118304,39.69606008204194,-87.49211804871669
CO,CL,,,5.974556369957213,8.288177654165377,81.08080455367535,-84.29854531025917
CO,CL,,,3.9830375799746545,8.602542998987634,157.85206065015822,-79.79635429224143
CO,CL,,,1.9915187906656404,9.459741543603766,430.42453288304114,-70.48321483944326
CO,CL,,,1.929898762281013e-11,11.42992511636152,989.2869612936654,-51.48583076277243
CO,PE,,,20.959589188816135,9.730090893205444,-94.63516792013677,-94.63516792013677
CO,PE,,,20.959589157256936,9.730090896669934,109.77747132906494,-94.63516782201788
CO,PE,,,18.74681750291711,9.74401495989661,6.29258929603869,-91.34899544382796
CO,PE,,,17.427734706494107,9.77090432527801,20.384895818759144,-89.22158441158884
CO,PE,,,15.62234791980138,9.824910814939367,29.9140827103815,-86.19582789540421
CO,PE,,,12.49787833654664,9.964011049598465,44.519631557494165,-80.6922664873368
CO,PE,,,9.373408749942632,10.215665921778564,80.54322988421958,-74.17798198620547
CO,PE,,,8.713867353299786,10.29303057192173,117.3006736756203,-72.55876883652515
CO,PE,,,6.248939166632551,10.639329221906259,140.49036067567982,-66.03178565317783
CO,PE,,,3.1244695836011536,11.40712402404851,245.7360463075233,-54.377378594666524
CO,PE,,,5.3958120442574866e-12,13.942736796469939,811.5338314490325,-23.174571543618274
CO,PE,CL,,23.2495200723958,12.284087969874761,-90.52059990415505,-90.52059990415505
CO,PE,CL,,23.249519566966036,12.284088045748842,150.11795066940564,-90.5205989145322
