country_1,country_2,country_3,country_4,Mitigation_Potential(MtCO2e),Mitigation_Cost($/tCO2e),Mitigation_Potential_at_0($/tCO2e),Mitigation_Potential_at_10($/tCO2e),Mitigation_Potential_at_20($/tCO2e),Mitigation_Potential_at_50($/tCO2e),Mitigation_Potential_at_Average_0($/tCO2e),Mitigation_Potential_at_Average_10($/tCO2e),Mitigation_Potential_at_Average_20($/tCO2e),Mitigation_Potential_at_Average_50($/tCO2e),BAU_Emissions(MtCO2e)
BN,,,,6.599216412272497,56.242590774971056,2.118498044516749,2.639783257009537,3.2997234167364757,5.279525221818822,3.9596587390338063,5.279525221818822,5.47624734988163,5.9394798660406,6.5994219797391755
BN,KH,,,31.351335499781268,43.44539614430963,20.212087100999845,21.945943096924722,22.373621396777523,24.618049920005205,26.862478446652897,28.216204699305894,29.106906973987332,31.351335499781268,31.351335499967295
BN,KH,LA,,37.9579932848653,35.083833035257626,25.516885039812827,27.634739848434442,27.634739848434442,30.366400125048816,34.16219670504126,35.37717992568361,35.37717992568361,37.9579932848653,37.957993285008705
BN,PH,,,192.44947716681992,18.899195936097982,135.79619732444456,142.40001166712236,149.54993530030518,163.84978258692183,178.14962987700963,185.29955352374563,192.44947716681992,192.44947716681992,192.4494771668571
BN,PH,TH,,464.1034762508206,10.229169912991624,346.38310876813586,369.99917711787214,387.17975801809746,402.564501684454,448.7187326077789,448.7187326077789,464.1034762508206,464.1034762508206,464.10347625105254
BN,TH,,,278.25342106393464,15.00185336466955,208.2143266946442,216.67924794745198,225.47555716022984,243.06817838975113,269.45711040268884,269.45711040268884,278.25342106393464,278.25342106393464,278.25342106393464
CL,,,,59.44340311277207,-73.16205403584995,57.153472076408725,57.50008278499187,57.50008278499187,58.05531716415961,59.44340311277207,59.44340311277207,59.44340311277207,59.44340311277207,59.44340311277968
CO,,,,51.65358850554442,-26.54064269327991,40.80619580743,42.01289200292403,42.01289200292403,45.86917060240607,51.65358850554442,51.65358850554442,51.65358850554442,51.65358850554442,51.653588505547184
CO,CL,,,111.09699161829309,-62.73664186152213,99.50047446837742,99.98615885908863,101.13939766520426,103.13091645509385,111.09699161829309,111.09699161829309,111.09699161829309,111.09699161829309,111.09699161832685
CO,PE,,,86.70736685484705,-41.891205388614495,69.16145599926548,71.08501893522582,71.08501893522582,74.20948851845692,86.70736685484705,86.70736685484705,86.70736685484705,86.70736685484705,86.7073668548488
CO,PE,CL,,146.150769967605,-65.75456951651472,130.48815980787904,131.49268921131542,133.93107602107335,136.98599950775142,146.150769967605,146.150769967605,146.150769967605,146.150769967605,146.1507699676285
EG,,,,256.52972382250096,-46.839808043729214,230.87679943832384,232.73616309530914,235.37989206297829,238.02362103280421,256.52972382250096,256.52972382250096,256.52972382250096,256.52972382250096,256.52972382252335
EG,KE,,,268.87664190303616,-50.8648941208473,240.69853970780605,243.69166604402264,243.69166604402264,249.98791001021692,268.87664190303616,268.87664190303616,268.87664190303616,268.87664190303616,268.87664190313467
EG,MA,,,337.45965844937814,-44.6395191020011,307.6983434815551,310.93519781433866,314.7244064766585,318.5136151396369,337.45965844937814,337.45965844937814,337.45965844937814,337.45965844937814,337.459658449473
EG,MA,KE,,349.80657652997377,-47.81184098750705,318.18487243090385,319.75136480857094,324.044966480689,328.3385681569658,349.80657652997377,349.80657652997377,349.80657652997377,349.80657652997377,349.8065765300843
EG,NG,,,545.2795361642831,-44.37843944706833,490.35523408931715,492.54385896842996,503.09099439891094,513.6381298512651,545.2795361642831,545.2795361642831,545.2795361642831,545.2795361642831,545.2795361643385
EG,NG,KE,,557.6264542448536,-55.370551762628246,502.4218105752684,513.4203404498401,513.4203404498401,524.4718688926624,557.6264542448536,557.6264542448536,557.6264542448536,557.6264542448536,557.6264542449499
EG,NG,MA,,626.2094707910597,-43.514071431646116,573.3926249024761,579.4390102590112,579.4390102590112,591.131625391632,626.2094707910597,626.2094707910597,626.2094707910597,626.2094707910597,626.2094707912881
ID,,,,775.6074492987012,24.287333240791572,577.3391603919207,602.0967178610409,620.6074961604027,676.4583578910149,726.032899870637,750.8201744960069,750.8201744960069,775.6074492987012,775.6074492987012
ID,BN,,,782.2068712784404,19.941308060003283,581.084161727746,604.7655732993248,625.7655092326047,680.8118108460594,731.5093402129916,756.8581057609535,782.2068712784404,782.2068712784404,782.2068712784404
ID,BN,KH,,806.9587847986064,16.80624750176065,605.4950286912799,621.6646100360216,645.5670333658254,701.076399232269,754.0175919987773,780.4881884055148,806.9587847986064,806.9587847986064,806.9587847986685
ID,BN,KH,LA,813.5654425834804,16.55289130923099,613.4955899541694,626.5052474529645,650.8523595840148,706.6739025173244,760.1196725505098,786.8425575638016,813.5654425834804,813.5654425834804,813.5654425837099
ID,BN,LA,,788.8135290632918,19.357189268614132,587.1774683737128,609.6054806661356,631.0508287637124,686.4089299970167,737.6112295302165,763.2123792935647,788.8135290632918,788.8135290632918,788.8135290634818
ID,BN,TH,,1053.839289873454,8.452902170061725,821.0297077050684,852.3558540654323,885.9363350220268,919.5244347101286,1020.2752954885779,1053.839289873454,1053.839289873454,1053.839289873454,1053.860870362636
ID,KH,,,800.3593628188667,17.10525208624451,599.2241697339325,618.9962910611205,640.2874902869593,696.7233218191658,748.5413423193936,774.4503525691641,800.3593628188667,800.3593628188667,800.3593628189293
ID,KH,LA,,806.9660206038207,16.78687258491497,606.5463798793219,623.8369284770368,645.5728165041844,702.3208251043275,754.6434228374387,780.8047217273811,806.9660206038207,806.9660206038207,806.9660206039707
ID,KH,VN,,1152.9488414434659,5.610720490729046,916.2662953283608,971.0741089451061,971.0741089451061,1043.8240019442696,1116.5738949437948,1152.9488414434659,1152.9488414434659,1152.9488414434659,1152.948841443685
ID,LA,,,782.2141070836698,20.419966505434004,583.3014135939115,606.9371617210386,625.7712856846449,682.0558525839381,732.1349798172656,757.1745434572445,757.1745434572445,782.2141070836698,782.2141070837426
ID,MY,,,965.4520667344681,14.785488577347122,699.0181343422478,755.5610613450167,772.3616735142829,839.5174251322865,923.4738526713011,923.4738526713011,965.4520667344681,965.4520667344681,965.4520667344681
ID,MY,PH,,1151.302121921586,8.746241611233534,869.8187772389787,921.041703950853,953.2711533836764,1036.171910477215,1101.7943792930078,1151.302121921586,1151.302121921586,1151.302121921586,1151.302121921586
ID,MY,PH,KR,1466.4395920553472,6.58316825829049,1007.8424000929201,1073.3562843896061,1204.3840536562439,1319.6950292230379,1400.9257074557916,1466.4395920553472,1466.4395920553472,1466.4395920553472,1466.4395920555417
ID,PH,,,961.4575044858192,10.106433677646232,743.9590594486951,773.2038477434996,804.579452012221,865.3117558089426,930.081892154557,930.081892154557,961.4575044858192,961.4575044858192,961.4575044858192
KE,,,,12.346918080598858,-28.11336216124974,8.858658582068175,8.858658582068175,9.104391571660871,9.104391571660871,12.346918080598858,12.346918080598858,12.346918080598858,12.346918080598858,12.34691808061131
KE,ZA,EG,NG,811.9961162300779,-40.73792847065621,732.3017687056021,737.9621995985184,752.768982897766,767.5757662307612,811.9961162300779,811.9961162300779,811.9961162300779,811.9961162300779,811.9961162303302
KH,,,,24.75191352022812,59.662603709073935,15.785246867502233,17.060014671152228,17.318580187478744,18.341997808882958,20.90596409159097,20.90596409159097,22.276722169486945,23.469930377789282,24.75191352022812
KH,TH,,,296.4059126044236,15.935183510033541,222.93681375855365,230.91002689947595,240.26658206195788,258.97969167801455,287.0493573727357,287.0493573727357,296.4059126044236,296.4059126044236,296.4059126044236
KH,TH,LA,,303.012570389465,15.840659379161254,227.9903502591934,235.75066347821732,245.35950738100254,264.57719493534813,293.40372652864505,293.40372652864505,303.012570389465,303.012570389465,303.012570389465
KH,TH,VN,,648.9953912291792,11.887313870601083,503.7428204239827,530.060443140531,549.882934874055,569.705425645763,629.172899760775,629.172899760775,648.9953912291792,648.9953912291792,648.9953912291792
KH,TH,VN,LA,655.6020490142206,11.882823335889201,508.96683558558755,535.153379801232,555.2281523709623,575.3029301147731,635.5272690761265,635.5272690761265,655.6020490142206,655.6020490142206,655.6020490142206
KH,VN,LA,,383.9480499300252,11.93252278367473,295.46541733219385,312.90828943228036,324.7482493836388,336.5882094916231,372.1080898172062,372.1080898172062,383.9480499300252,383.9480499300252,383.9480499300252
KR,,,,315.1372922693559,94.22242133521375,203.09416759339183,203.09416759339183,203.09416759339183,203.09416759339183,203.09416759339183,220.29437233781272,235.10672140898282,283.52286513994255,315.13747013395573
KR,ID,,,1090.7449194326048,44.488290745014105,780.4037272332916,780.4037272332916,780.4037272332916,857.9890253002088,935.5743233328484,1013.1596213997841,1013.1596213997841,1090.7449194326048,1090.7449194326568
KR,ID,PH,,1276.5949746196486,6.403277095673223,913.547082293673,958.9280689543095,1021.0747724215344,1140.452015053293,1231.2139880866252,1276.5949746196486,1276.5949746196486,1276.5949746196486,1276.5949746197748
KR,LA,,,321.7441279189501,38.932326928308896,207.68282671961578,207.68282671961578,207.68282671961578,240.27176991968332,240.27176991968332,272.8607131199492,289.46911147994246,321.7441279189501,321.74412791899715
KR,MY,,,504.9820875696654,43.75104555746147,297.38979537030445,297.38979537030445,297.38979537030445,353.1856503704811,366.58722610371717,403.7844627703997,454.38327517010066,504.9820875696654,504.9820875697226
KR,MY,ID,,1280.5895368682718,19.117288356204934,874.6990445364697,874.6990445364697,896.1108648690791,1048.652112769154,1164.6208248026096,1222.6051808353052,1280.5895368682718,1280.5895368682718,1280.5895368684237
KR,MY,PH,,690.832142756689,24.044411835316623,430.5331505586983,430.5331505586983,483.2806889914483,579.2754318236622,621.6483248242022,653.6465724572232,653.6465724572232,690.832142756689,690.8321427568405
KR,PH,,,500.9875253209602,26.491514641029028,336.23783312144417,336.23783312144417,336.23783312144417,406.8448440881202,453.91618468833525,477.4518550079158,477.4518550079158,500.9875253209602,500.9875253210737
KR,TH,,,586.7914692180344,19.24061336694529,408.869917018641,408.869917018641,408.869917018641,497.83069311991187,542.311081185467,564.5512751952451,586.7914692180344,586.7914692180344,586.7914692181512
KR,TH,LA,,593.3981270031386,18.621038350546385,413.45826580349944,413.45826580349944,413.45826580349944,503.4281964042102,548.4131617036318,570.9056443533742,593.3981270031386,593.3981270031386,593.3981270031926
KR,TH,VN,,939.3809478427994,13.664667681131899,677.7319056445476,710.4380359462906,750.0199416113185,808.5564267432362,906.6748175696455,906.6748175696455,939.3809478427994,939.3809478427994,939.3809478429068
KR,VN,LA,,674.3336065436743,18.248901591160422,476.54481534625523,476.54481534625523,525.9920131451753,575.4392109444384,624.8864087439304,649.6100076440173,674.3336065436743,674.3336065436743,674.3336065437528
LA,,,,6.6066577850414125,18.718841389136962,4.589991190192016,4.876678642042455,4.876678642042455,5.453338356375037,6.0299980707498255,6.318327927932753,6.6066577850414125,6.6066577850414125,6.6066577850414125
LA,BN,,,13.206079764662377,20.350120694279653,6.9196005469172714,7.780247968141457,8.865414328120814,11.03574704580978,11.03574704580978,12.12091340546877,12.12091340546877,13.206079764662377,13.206079764780588
LA,KH,,,31.358571305269532,40.54523777052664,21.14084538547536,21.95099993569682,23.507006306653217,25.077319306435598,26.647632306460004,28.222714175040316,29.788258305521403,31.358571305269532,31.358571305269532
LA,MY,,,196.45127522067347,20.94678232761328,98.97452094997455,131.4062025554332,147.6674707215732,163.9287388876479,163.9287388876479,180.19000705440413,180.19000705440413,196.45127522067347,196.45127522080827
LA,TH,,,278.26065686923687,14.603332368316408,210.6275222708638,218.85089773442914,227.33800560973992,244.31222243222896,269.77354826027545,269.77354826027545,278.26065686923687,278.26065686923687,278.26065686923687
MA,,,,80.92948020294611,-17.484225968494776,70.6205853665487,70.6205853665487,70.6205853665487,74.05702723310974,80.92948020294611,80.92948020294611,80.92948020294611,80.92948020294611,80.92993462694965
MA,KE,,,93.2768527074416,-34.311013037664374,78.42799836688553,80.0778710677364,81.7277437746158,85.02748918440788,93.2768527074416,93.2768527074416,93.2768527074416,93.2768527074416,93.27685270756095
MA,KE,EG,NG,638.5563888717301,-49.84308148976787,589.3150120752063,589.7683563172516,601.9653644393077,601.9653644393077,638.5563888717301,638.5563888717301,638.5563888717301,638.5563888717301,638.5563888718995
MY,,,,189.84461743576685,25.231595332705833,94.29572970137448,132.51503746439417,151.62489744206346,151.87569410204227,151.87569410204227,170.8601556961,170.8601556961,189.84461743576685,189.84461743576685
MY,BN,,,196.44403941544434,23.161809643227485,96.47466808170765,136.41884591652118,137.5108358495789,157.1552370496711,157.1552370496711,176.7996382257463,176.7996382257463,196.44403941544434,196.444039415506
MY,BN,PH,,382.294094602454,17.52225212509822,230.82135701167354,267.6058744706104,295.0091293698182,338.65161200283893,344.06468790285965,360.472853296257,382.294094602454,382.294094602454,382.29409460262394
MY,BN,PH,TH,653.9480936866701,11.768128138680082,460.7177703445674,497.7857728564376,529.0182370204651,587.9114823868711,622.7156295204022,622.7156295204022,653.9480936866701,653.9480936866701,653.9480936868194
MY,BN,TH,,468.0980384995538,14.631569585021532,319.0735227116237,373.19482693336556,396.9892317338843,420.6464326999746,444.39510290651697,444.39510290651697,468.0980384995538,468.0980384995538,468.0980384997015
MY,PH,,,375.6946726228848,17.47064284685526,227.82347312499653,263.0280090575002,290.97695957443494,333.33581554027006,338.1252053924003,354.51524409156804,375.6946726228848,375.6946726228848,375.6946726228848
MY,PH,TH,,647.3486717069745,11.727675266736949,456.82052650103776,494.39541457440043,524.9860660079987,581.9719998406332,616.758020277291,616.758020277291,647.3486717069745,647.3486717069745,647.3486717070803
MY,TH,,,461.4986165198625,14.595578071196728,316.63719202599657,367.91528385390706,369.25412508825775,414.7069501870641,438.4374936635384,438.4374936635384,461.4986165198625,461.4986165198625,461.4986165199623
MY,VN,LA,,549.0407538452929,13.632094728414492,420.22103848161987,439.2326030820055,445.44355441306226,471.34285427964164,523.1414539891838,523.1414539891838,549.0407538452929,549.0407538452929,549.0407538455639
NG,,,,288.7497510342577,-3.8329195652555135,237.4683020344445,237.4683020344445,244.29312496074164,253.1843005900286,288.7497510342577,288.7497510342577,288.7497510342577,288.7497510342577,288.7498123418152
NG,KE,,,301.09673042234084,-26.99550691451417,252.61557524118086,253.80285839067773,263.2616327569775,263.2616327569775,301.09673042234084,301.09673042234084,301.09673042234084,301.09673042234084,301.0967304224265
NG,MA,,,369.67928380425013,-21.5185945034343,318.77972881900416,318.77972881900416,328.9597200122471,339.139679300868,369.67928380425013,369.67928380425013,369.67928380425013,369.67928380425013,369.67974696876485
NG,MA,KE,,382.0261714248234,-32.11497141994853,332.88675094823805,339.0366726924578,343.79751038274344,349.7842809273017,382.0261714248234,382.0261714248234,382.0261714248234,382.0261714248234,382.02666504937616
PE,,,,35.05374621504101,-18.122236651631184,25.48307445101728,25.48307445101728,26.679447139089476,27.958755910686044,35.05374621504101,35.05374621504101,35.05374621504101,35.05374621504101,35.05377834930162
PE,CL,,,94.49691440543359,-77.86486491887996,88.56080195673833,89.1329461222769,90.47407499320296,91.81513023743368,94.49691440543359,94.49691440543359,94.49691440543359,94.49691440543359,94.4971814620813
PH,,,,185.85005518711793,22.219579316815533,133.18339028513432,139.73169430390823,146.32003018772355,152.90836769393073,172.67338021502061,179.2617177088188,179.2617177088188,185.85005518711793,185.85005518711793
PH,TH,,,457.50405427124196,10.164137748521826,342.923112338358,364.7196340393499,368.5651092727405,398.2114242717762,442.68089677135293,442.68089677135293,457.50405427124196,457.50405427124196,457.5040542713134
