Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,1.917519263,G$/GWp,262800,h,WINDOUT,24,0,0.0008,GWp,0.02,0.1,GWp,0.005,SG
1,cost_projections,G$/GWp,262800,h,WINDOUT,24,0,67.945,GWp,0.02,0.1,GWp,0.005,ID
2,1.858117043,G$/GWp,262800,h,WINDOUT,24,0,10.0278,GWp,0.02,0.1,GWp,0.005,MY
3,1.917519263,G$/GWp,262800,h,WINDOUT,24,0,0.0288,GWp,0.02,0.1,GWp,0.005,BN
4,1.285960972,G$/GWp,262800,h,WINDOUT,24,0,11.061,GWp,0.02,0.1,GWp,0.005,KH
5,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,61.019,GWp,0.02,0.1,GWp,0.005,MM
6,1.020155968,G$/GWp,262800,h,WINDOUT,24,0,18.5684,GWp,0.02,0.1,GWp,0.005,PH
7,1.151387788,G$/GWp,262800,h,WINDOUT,24,0,42.685,GWp,0.02,0.1,GWp,0.005,TH
8,1.014764112,G$/GWp,262800,h,WINDOUT,24,0,22.9596,GWp,0.02,0.1,GWp,0.005,VN
9,1.066235642,G$/GWp,262800,h,WINDOUT,24,0,13.1536,GWp,0.02,0.1,GWp,0.005,LA
10,1.278948361,G$/GWp,219000,h,WINDOUT,24,0,1005.0145,GWp,0.02,0.1,GWp,0.005,AU
11,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,245.8435,GWp,0.02,0.1,GWp,0.005,SA
12,1.112548261,G$/GWp,219000,h,WINDOUT,24,0,278.751,GWp,0.02,0.1,GWp,0.005,IN
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,AE
14,1.442718536,G$/GWp,219000,h,WINDOUT,24,0,38.312,GWp,0.02,0.1,GWp,0.005,MA
15,1.386046117,G$/GWp,219000,h,WINDOUT,24,0,103.0825,GWp,0.02,0.1,GWp,0.005,KE
16,1.47969492,G$/GWp,219000,h,WINDOUT,24,0,199.134,GWp,0.02,0.1,GWp,0.005,ZA
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,9.282,GWp,0.02,0.1,GWp,0.005,KR
18,1.323605841,G$/GWp,219000,h,WINDOUT,24,0,160.364,GWp,0.02,0.1,GWp,0.005,EG
19,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,119.791,GWp,0.02,0.1,GWp,0.005,NG
20,1.053629782,G$/GWp,262800,h,WINDOUT,24,0,524.0995,GWp,0.02,0.1,GWp,0.005,BR
21,1.403224298,G$/GWp,262800,h,WINDOUT,24,0,85.7205,GWp,0.02,0.1,GWp,0.005,CO
22,1.414978946,G$/GWp,262800,h,WINDOUT,24,0,64.07,GWp,0.02,0.1,GWp,0.005,PE
23,1.142296276,G$/GWp,262800,h,WINDOUT,24,0,32.663,GWp,0.02,0.1,GWp,0.005,CL
24,1.472296227,G$/GWp,219000,h,WINDOUT,24,0,47.6585,GWp,0.02,0.1,GWp,0.005,FR
25,1.471846359,G$/GWp,219000,h,WINDOUT,24,0,48.279,GWp,0.02,0.1,GWp,0.005,DE
26,1.191172668,G$/GWp,219000,h,WINDOUT,24,0,1255.033,GWp,0.02,0.1,GWp,0.005,US
27,1.370618789,G$/GWp,219000,h,WINDOUT,24,0,652.8755,GWp,0.02,0.1,GWp,0.005,RU
28,1.09684,G$/GWp,219000,h,WINDOUT,24,0,521.8835,GWp,0.02,0.1,GWp,0.005,CN
29,1.402462151,G$/GWp,219000,h,WINDOUT,24,0,93.156,GWp,0.02,0.1,GWp,0.005,TR
30,1.276088852,G$/GWp,219000,h,WINDOUT,24,0,11.078,GWp,0.02,0.1,GWp,0.005,JP
