Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,SGP
1,5.64263011,G$/GWp,262800,h,WINDOUT,24,0,504.435,GWp,0.02,0.1,GWp,0.005,IDN
2,7.56185787,G$/GWp,262800,h,WINDOUT,24,0,61.899,GWp,0.02,0.1,GWp,0.005,MYS
3,5.867239268,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,0.02,0.1,GWp,0.005,BRN
4,4.80425166,G$/GWp,262800,h,WINDOUT,24,0,12.544,GWp,0.02,0.1,GWp,0.005,KHM
5,3.797411871,G$/GWp,219000,h,WINDOUT,24,0,54.402,GWp,0.02,0.1,GWp,0.005,MMR
6,3.902202852,G$/GWp,262800,h,WINDOUT,24,0,90.534,GWp,0.02,0.1,GWp,0.005,PHL
7,4.362323162,G$/GWp,262800,h,WINDOUT,24,0,66.347,GWp,0.02,0.1,GWp,0.005,THA
8,3.848072069,G$/GWp,262800,h,WINDOUT,24,0,155.43,GWp,0.02,0.1,GWp,0.005,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,0.02,0.1,GWp,0.005,LAO
10,3.370660221,G$/GWp,219000,h,WINDOUT,24,0,374.799,GWp,0.02,0.1,GWp,0.005,AUS
11,3.136827457,G$/GWp,219000,h,WINDOUT,24,0,10.392,GWp,0.02,0.1,GWp,0.005,SAU
12,3.31308103,G$/GWp,219000,h,WINDOUT,24,0,84.465,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,3.603365884,G$/GWp,219000,h,WINDOUT,24,0,36.537,GWp,0.02,0.1,GWp,0.005,MAR
15,3.382180847,G$/GWp,219000,h,WINDOUT,24,0,1.974,GWp,0.02,0.1,GWp,0.005,KEN
16,3.618405964,G$/GWp,219000,h,WINDOUT,24,0,76.188,GWp,0.02,0.1,GWp,0.005,ZAF
17,4.928999149,G$/GWp,262800,h,WINDOUT,24,0,34.055,GWp,0.02,0.1,GWp,0.005,KOR
18,2.770222442,G$/GWp,219000,h,WINDOUT,24,0,8.887,GWp,0.02,0.1,GWp,0.005,EGY
19,3.757693378,G$/GWp,219000,h,WINDOUT,24,0,13.181,GWp,0.02,0.1,GWp,0.005,NGA
20,3.544218615,G$/GWp,262800,h,WINDOUT,24,0,256.038,GWp,0.02,0.1,GWp,0.005,BRA
21,3.414157566,G$/GWp,262800,h,WINDOUT,24,0,16.908,GWp,0.02,0.1,GWp,0.005,COL
22,3.803043545,G$/GWp,262800,h,WINDOUT,24,0,18.917,GWp,0.02,0.1,GWp,0.005,PER
23,3.49033641,G$/GWp,262800,h,WINDOUT,24,0,107.003,GWp,0.02,0.1,GWp,0.005,CHL
24,2.978119731,G$/GWp,219000,h,WINDOUT,24,0,13.301,GWp,0.02,0.1,GWp,0.005,FRA
25,2.973703725,G$/GWp,219000,h,WINDOUT,24,0,2.874,GWp,0.02,0.1,GWp,0.005,DEU
26,3.052572757,G$/GWp,219000,h,WINDOUT,24,0,198.837,GWp,0.02,0.1,GWp,0.005,USA
27,3.422867665,G$/GWp,219000,h,WINDOUT,24,0,560.297,GWp,0.02,0.1,GWp,0.005,RUS
28,2.811939282,G$/GWp,219000,h,WINDOUT,24,0,30.464,GWp,0.02,0.1,GWp,0.005,CHN
29,3.578388831,G$/GWp,219000,h,WINDOUT,24,0,14.829,GWp,0.02,0.1,GWp,0.005,TUR
30,4.842915954,G$/GWp,219000,h,WINDOUT,24,0,76.848,GWp,0.02,0.1,GWp,0.005,JPN
