Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,0.51,G$/GWp,262800,h,PVOUT,24,0,1.032536659,GWp,SGP
1,0.5372901825,G$/GWp,262800,h,PVOUT,24,0,1.696863494,GWp,IDN
2,0.51,G$/GWp,262800,h,PVOUT,24,0,3.139292062,GWp,MYS
3,0.51,G$/GWp,262800,h,PVOUT,24,0,0.00834215,GWp,BRN
4,0.51,G$/GWp,262800,h,PVOUT,24,0,0.840733944,GWp,KHM
5,0.5451748366000001,G$/GWp,262800,h,PVOUT,24,0,0.315711294,GWp,MMR
6,0.51,G$/GWp,262800,h,PVOUT,24,0,3.985433676,GWp,PHL
7,0.51,G$/GWp,262800,h,PVOUT,24,0,5.548495179,GWp,THA
8,0.3488927917,G$/GWp,262800,h,PVOUT,24,0,30.35247669,GWp,VNM
9,0.51,G$/GWp,262800,h,PVOUT,24,0,0.102911416,GWp,LAO
10,0.5675222781,G$/GWp,262800,h,PVOUT,24,0,,GWp,AUS
11,0.3413120807000001,G$/GWp,262800,h,PVOUT,24,0,,GWp,SAU
12,0.3315454986999999,G$/GWp,262800,h,PVOUT,24,0,,GWp,IND
13,0.616533612,G$/GWp,262800,h,PVOUT,24,0,6.18,GWp,ARE
14,0.5451748366000001,G$/GWp,210240,h,PVOUT,24,0,1.143238444,GWp,MAR
15,0.5451748366000001,G$/GWp,210240,h,PVOUT,24,0,2.089114026,GWp,KEN
16,0.7014188037999999,G$/GWp,210240,h,PVOUT,24,0,8.677732573,GWp,ZAF
17,0.7264457094000001,G$/GWp,262800,h,PVOUT,24,0,30.9912449,GWp,KOR
18,0.5451748366,G$/GWp,210240,h,PVOUT,24,0,5.170633584,GWp,EGY
19,0.5451748366000001,G$/GWp,210240,h,PVOUT,24,0,0.711013604,GWp,NGA
20,0.4201760595999999,G$/GWp,219000,h,PVOUT,24,0,80.42658823,GWp,BRA
21,0.5451748366,G$/GWp,219000,h,PVOUT,24,0,1.513060403,GWp,COL
22,0.5451748366000001,G$/GWp,219000,h,PVOUT,24,0,0.744756757,GWp,PER
23,0.5509082641000003,G$/GWp,219000,h,PVOUT,24,0,17.41105844,GWp,CHL
24,0.6663871130999999,G$/GWp,219000,h,PVOUT,24,0,,GWp,FRA
25,0.6008048169000001,G$/GWp,219000,h,PVOUT,24,0,,GWp,DEU
26,0.6519093478,G$/GWp,219000,h,PVOUT,24,0,,GWp,USA
27,0.8008031871000001,G$/GWp,219000,h,PVOUT,24,0,,GWp,RUS
28,0.3923635149,G$/GWp,219000,h,PVOUT,24,0,,GWp,CHN
29,0.3714263609999998,G$/GWp,219000,h,PVOUT,24,0,,GWp,TUR
30,0.8120734846,G$/GWp,219000,h,PVOUT,24,0,,GWp,JPN
