Type,sizing_constant,sizing_constant_unit,usage_constant,usage_constant_unit,lifespan,lifespan_units,emissions_factor,emissions_factor,electricity_intensity,electricity_intensity_unit,capacity_factor,interest_rate,existing_capacity,existing_capacity_decay_rate,location_name
0,0.45,G$/Mt steel yr,0.085,G$/Mt steel,175200,h,1.6,MtCO2e/Mt cement,1366,GWh/Mt steel,0.85,0.03,0,0.005,SG
1,0.45,G$/Mt steel yr,0.085,G$/Mt steel,175200,h,1.6,MtCO2e/Mt cement,1366,GWh/Mt steel,0.85,0.03,60.795,0.005,ID
