Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,SGP
1,6.76920699,G$/GWp,262800,h,WINDOUT,24,0,424.293,GWp,0.02,0.1,GWp,0.005,IDN
2,7.615010703,G$/GWp,262800,h,WINDOUT,24,0,57.709,GWp,0.02,0.1,GWp,0.005,MYS
3,6.40558285,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,0.02,0.1,GWp,0.005,BRN
4,5.820726048,G$/GWp,262800,h,WINDOUT,24,0,12.44,GWp,0.02,0.1,GWp,0.005,KHM
5,4.190912784,G$/GWp,219000,h,WINDOUT,24,0,85.275,GWp,0.02,0.1,GWp,0.005,MMR
6,4.305431818,G$/GWp,262800,h,WINDOUT,24,0,84.21,GWp,0.02,0.1,GWp,0.005,PHL
7,5.316641284,G$/GWp,262800,h,WINDOUT,24,0,59.347,GWp,0.02,0.1,GWp,0.005,THA
8,4.412243085,G$/GWp,262800,h,WINDOUT,24,0,136.694,GWp,0.02,0.1,GWp,0.005,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,0.02,0.1,GWp,0.005,LAO
10,3.771391501,G$/GWp,219000,h,WINDOUT,24,0,364.694,GWp,0.02,0.1,GWp,0.005,AUS
11,3.225009202,G$/GWp,219000,h,WINDOUT,24,0,0.78,GWp,0.02,0.1,GWp,0.005,SAU
12,3.549044984,G$/GWp,219000,h,WINDOUT,24,0,100.988,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,4.406750673,G$/GWp,219000,h,WINDOUT,24,0,26.556,GWp,0.02,0.1,GWp,0.005,MAR
15,3.758859845,G$/GWp,219000,h,WINDOUT,24,0,1.485,GWp,0.02,0.1,GWp,0.005,KEN
16,4.135071969,G$/GWp,219000,h,WINDOUT,24,0,152.711,GWp,0.02,0.1,GWp,0.005,ZAF
17,4.987543258,G$/GWp,262800,h,WINDOUT,24,0,14.218,GWp,0.02,0.1,GWp,0.005,KOR
18,3.450847015,G$/GWp,219000,h,WINDOUT,24,0,7.36,GWp,0.02,0.1,GWp,0.005,EGY
19,4.066079713,G$/GWp,219000,h,WINDOUT,24,0,4.403,GWp,0.02,0.1,GWp,0.005,NGA
20,4.701759256,G$/GWp,262800,h,WINDOUT,24,0,552.155,GWp,0.02,0.1,GWp,0.005,BRA
21,4.135657669,G$/GWp,262800,h,WINDOUT,24,0,10.477,GWp,0.02,0.1,GWp,0.005,COL
22,3.990399046,G$/GWp,262800,h,WINDOUT,24,0,12.007,GWp,0.02,0.1,GWp,0.005,PER
23,4.057903432,G$/GWp,262800,h,WINDOUT,24,0,51.246,GWp,0.02,0.1,GWp,0.005,CHL
24,3.426489544,G$/GWp,219000,h,WINDOUT,24,0,47.844,GWp,0.02,0.1,GWp,0.005,FRA
25,2.966258044,G$/GWp,219000,h,WINDOUT,24,0,0.529,GWp,0.02,0.1,GWp,0.005,DEU
26,3.638279929,G$/GWp,219000,h,WINDOUT,24,0,248.916,GWp,0.02,0.1,GWp,0.005,USA
27,3.887078873,G$/GWp,219000,h,WINDOUT,24,0,702.798,GWp,0.02,0.1,GWp,0.005,RUS
28,2.779708864,G$/GWp,219000,h,WINDOUT,24,0,82.647,GWp,0.02,0.1,GWp,0.005,CHN
29,4.026587397,G$/GWp,219000,h,WINDOUT,24,0,18.565,GWp,0.02,0.1,GWp,0.005,TUR
30,5.051853199,G$/GWp,219000,h,WINDOUT,24,0,72.718,GWp,0.02,0.1,GWp,0.005,JPN
