region,scenario,group,2021,2030,2040,2050
KHM,high,0,8983.477503,4405.371648,4130.03592,3854.700192
KHM,high,1,11196.43151,5490.573326,5147.412493,4804.25166
KHM,high,2,12096.30712,5931.85973,5561.118497,5190.377264
KHM,high,3,13565.3511,6652.25834,6236.492194,5820.726048
KHM,high,4,14682.07523,7199.884223,6749.891459,6299.898695
KHM,high,5,15963.41533,7828.235477,7338.97076,6849.706042
KHM,high,6,17388.41204,8527.033921,7994.094301,7461.154681
KHM,high,7,20286.0467,9947.993409,9326.243821,8704.494233
KHM,high,8,22571.35369,11068.67597,10376.88373,9685.091477
KHM,high,9,23053.67896,11305.20154,10598.62644,9892.051344
KHM,low,0,2414.382634,2350.101331,2143.013671,1935.920731
KHM,low,1,3009.13202,2929.015918,2670.91511,2412.807721
KHM,low,2,3250.980907,3164.425742,2885.580948,2606.729044
KHM,low,3,3645.798424,3548.73151,3236.022227,2923.304969
KHM,low,4,3945.927114,3840.869477,3502.417402,3163.956697
KHM,low,5,4290.297686,4176.071416,3808.081813,3440.082826
KHM,low,6,4673.27714,4548.854301,4148.015589,3747.166655
KHM,low,7,5452.04002,5306.883147,4839.247987,4371.600902
KHM,low,8,6066.234857,5904.725462,5384.409269,4864.079809
KHM,low,9,6195.863695,6030.903021,5499.468237,4968.019901
KHM,medium,0,3735.214876,3386.910742,3146.043198,2903.881096
KHM,medium,1,4655.332808,4221.228823,3921.026929,3619.211581
KHM,medium,2,5029.489559,4560.495923,4236.166309,3910.093566
KHM,medium,3,5640.29923,5114.348353,4750.630316,4384.957453
KHM,medium,4,6104.618816,5535.370717,5141.710756,4745.935045
KHM,medium,5,6637.383618,6018.455865,5590.440249,5160.124239
KHM,medium,6,7229.878997,6555.701788,6089.478757,5620.749982
KHM,medium,7,8434.678374,7648.155124,7104.239891,6557.401354
KHM,medium,8,9384.879747,8509.751402,7904.561871,7296.119713
KHM,medium,9,9585.424415,8691.59553,8073.473758,7452.029852
