Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,SGP
1,2.493789185,G$/GWp,262800,h,WINDOUT,24,0,66.4448,GWp,0.02,0.1,GWp,0.005,IDN
2,2.547525875,G$/GWp,262800,h,WINDOUT,24,0,10.0264,GWp,0.02,0.1,GWp,0.005,MYS
3,2.546930602,G$/GWp,262800,h,WINDOUT,24,0,0.0288,GWp,0.02,0.1,GWp,0.005,BRN
4,1.833549673,G$/GWp,262800,h,WINDOUT,24,0,10.6168,GWp,0.02,0.1,GWp,0.005,KHM
5,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,182.903,GWp,0.02,0.1,GWp,0.005,MMR
6,1.853172019,G$/GWp,262800,h,WINDOUT,24,0,16.7848,GWp,0.02,0.1,GWp,0.005,PHL
7,1.914845319,G$/GWp,262800,h,WINDOUT,24,0,40.792,GWp,0.02,0.1,GWp,0.005,THA
8,1.810446937,G$/GWp,262800,h,WINDOUT,24,0,20.4376,GWp,0.02,0.1,GWp,0.005,VNM
9,2.323307822,G$/GWp,262800,h,WINDOUT,24,0,12.8184,GWp,0.02,0.1,GWp,0.005,LAO
10,1.278948361,G$/GWp,219000,h,WINDOUT,24,0,2602.0085,GWp,0.02,0.1,GWp,0.005,AUS
11,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,828.282,GWp,0.02,0.1,GWp,0.005,SAU
12,1.112548261,G$/GWp,219000,h,WINDOUT,24,0,1189.58,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,1.468929644,G$/GWp,219000,h,WINDOUT,24,0,155.218,GWp,0.02,0.1,GWp,0.005,MAR
15,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,178.7065,GWp,0.02,0.1,GWp,0.005,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,511.798,GWp,0.02,0.1,GWp,0.005,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,19.796,GWp,0.02,0.1,GWp,0.005,KOR
18,1.328822723,G$/GWp,219000,h,WINDOUT,24,0,429.303,GWp,0.02,0.1,GWp,0.005,EGY
19,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,220.3005,GWp,0.02,0.1,GWp,0.005,NGA
20,1.054285569,G$/GWp,262800,h,WINDOUT,24,0,2256.0265,GWp,0.02,0.1,GWp,0.005,BRA
21,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,47.1485,GWp,0.02,0.1,GWp,0.005,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,33.3585,GWp,0.02,0.1,GWp,0.005,PER
23,1.239928337,G$/GWp,262800,h,WINDOUT,24,0,134.771,GWp,0.02,0.1,GWp,0.005,CHL
24,1.477105269,G$/GWp,219000,h,WINDOUT,24,0,146.0515,GWp,0.02,0.1,GWp,0.005,FRA
25,1.471846359,G$/GWp,219000,h,WINDOUT,24,0,45.5665,GWp,0.02,0.1,GWp,0.005,DEU
26,1.191193572,G$/GWp,219000,h,WINDOUT,24,0,1428.896,GWp,0.02,0.1,GWp,0.005,USA
27,1.395708217,G$/GWp,219000,h,WINDOUT,24,0,2875.03,GWp,0.02,0.1,GWp,0.005,RUS
28,1.09684,G$/GWp,219000,h,WINDOUT,24,0,1693.0445,GWp,0.02,0.1,GWp,0.005,CHN
29,1.402462151,G$/GWp,219000,h,WINDOUT,24,0,212.8385,GWp,0.02,0.1,GWp,0.005,TUR
30,1.280747716,G$/GWp,219000,h,WINDOUT,24,0,43.7325,GWp,0.02,0.1,GWp,0.005,JPN
