region,scenario,group,2021,2030,2040,2050
IDN,high,0,9866.214514,4838.253525,4535.862679,4233.471834
IDN,high,1,13150.29396,6448.720126,6045.675118,5642.63011
IDN,high,2,14978.82969,7345.408458,6886.320429,6427.232401
IDN,high,3,15775.81023,7736.23656,7252.721775,6769.20699
IDN,high,4,17309.49173,8488.332509,7957.811727,7427.290945
IDN,high,5,18183.88751,8917.12396,8359.803712,7802.483465
IDN,high,6,18845.19873,9241.421728,8663.83287,8086.244012
IDN,high,7,23082.27779,11319.226,10611.77438,9904.322753
IDN,high,8,24417.70961,11974.10308,11225.72164,10477.34019
IDN,high,9,18756.9949,9198.167805,8623.282318,8048.39683
IDN,low,0,2651.625384,2581.027654,2353.591088,2126.148722
IDN,low,1,3534.248442,3440.15147,3137.010109,2833.861017
IDN,low,2,4025.682289,3918.501224,3573.208348,3227.906666
IDN,low,3,4239.877289,4126.993428,3763.328509,3399.654316
IDN,low,4,4652.066667,4528.208543,4129.189106,3730.159494
IDN,low,5,4887.067642,4756.952776,4337.776715,3918.589966
IDN,low,6,5064.80041,4929.95353,4495.532883,4061.101159
IDN,low,7,6203.549865,6038.384551,5506.290505,4974.182891
IDN,low,8,6562.458025,6387.737025,5824.858525,5261.965672
IDN,low,9,5041.094915,4906.879177,4474.49181,4042.093418
IDN,medium,0,4102.245618,3719.716325,3455.180586,3189.223083
IDN,medium,1,5467.723786,4957.865355,4605.275947,4250.791526
IDN,medium,2,6228.00552,5647.251764,5245.635138,4841.86
IDN,medium,3,6559.379819,5947.725823,5524.740329,5099.481474
IDN,medium,4,7197.064946,6525.947606,6061.840609,5595.23924
IDN,medium,5,7560.627509,6855.608413,6368.056868,5877.884948
IDN,medium,6,7835.592243,7104.933029,6599.65022,6091.651739
IDN,medium,7,9597.315444,8702.377736,8083.489163,7461.274336
IDN,medium,8,10152.57089,9205.856301,8551.161752,7892.948508
IDN,medium,9,7798.918222,7071.678814,6568.760951,6063.140127
