region,group,scenario,2022,2030,2040,2050
CHL,0,high,0.024069064898170255,0.021983399365702948,0.01912763895837032,0.01627191094623722
CHL,1,high,0.02693978447269253,0.02460536142117365,0.021408994208543065,0.018212663254890297
CHL,2,high,0.03089955133013861,0.028222001144843495,0.024555813211648826,0.02088966686698839
CHL,3,high,0.03526677286852261,0.032210788229135236,0.028026435655472214,0.023842130548303978
CHL,4,high,0.04751897244022863,0.043401293445379414,0.03776323477272002,0.032125240057119094
CHL,5,high,0.062288794020702754,0.05689126024456452,0.049500783192905455,0.042110389977403705
CHL,6,high,0.08640940426777093,0.07892173838109116,0.06866938513957153,0.058417148198784824
CHL,7,high,0.12046400976155228,0.11002539762080493,0.09573251374513217,0.08143979200519907
CHL,8,high,0.1952961465954867,0.17837307778075712,0.15520146702182028,0.13203011911719978
CHL,9,high,0.47649544984007586,0.4352055143850224,0.3786700051874522,0.3221351373178766
COL,0,high,0.05227119611523995,0.05227119611523995,0.048057890669864975,0.04033542512369717
COL,1,high,0.08476837226679286,0.08476837226679286,0.0779356408389561,0.06541209282616807
COL,2,high,0.10247362803398694,0.10247362803398694,0.094213769314645,0.07907447424019066
COL,3,high,0.13803521993682877,0.13803521993682877,0.1269089288427585,0.10651581926535889
COL,4,high,0.1945149442990344,0.1945149442990344,0.1788361204929939,0.15009878392521334
COL,5,high,0.2816402738469938,0.2816402738469938,0.25893873671705575,0.2173296389186876
COL,6,high,0.38798676482446165,0.38798676482446165,0.3567131979184352,0.29939263427338864
COL,7,high,0.5337783839016602,0.5337783839016602,0.4907533234733851,0.4118937318565798
COL,8,high,0.7359184482250597,0.7359184482250597,0.676599943279759,0.5678764916740668
COL,9,high,1.434449245424838,1.434449245424838,1.3188258569043652,1.1069025473421101
EGY,0,high,0.04300591802972773,0.034197729758320014,0.029605236468873426,0.025015487731511635
EGY,1,high,0.046364965185027134,0.03686879904657427,0.03191760160136501,0.02696936307594386
EGY,2,high,0.04989948125166873,0.039679398861927215,0.03435075937940917,0.029025304382458532
EGY,3,high,0.053038159460359904,0.042175233716678064,0.03651142272122583,0.030850996515536678
EGY,4,high,0.05595585798441764,0.04449534848723118,0.0385199638408435,0.03254815018593061
EGY,5,high,0.06136789560782781,0.0487989282866275,0.04224560582129703,0.035696199732909654
EGY,6,high,0.06602995957092207,0.052506139080632286,0.04545496658799425,0.03840800799594166
EGY,7,high,0.07388831256696765,0.05875499608488179,0.050864649937690104,0.04297901919553023
EGY,8,high,0.0870678144740325,0.06923515940230146,0.059937407557488914,0.05064521220728549
EGY,9,high,0.10289419602292232,0.08182008594396632,0.07083227481453983,0.05985103018789038
KEN,0,high,0.17023498667891884,0.0863036333020867,0.08090965621776323,0.07551567913343979
KEN,1,high,0.17453179581571868,0.08848197658712982,0.08295185304741694,0.07742172950770407
KEN,2,high,0.18387756520292792,0.09321997944926089,0.08739373073050323,0.08156748201174559
KEN,3,high,0.1886653601478599,0.0956472366618592,0.0896692843672314,0.0836913320726036
KEN,4,high,0.2115531380252182,0.10725059991616358,0.10054743741774598,0.09384427491932858
KEN,5,high,0.2220830213192101,0.11258891023795704,0.10555210334424539,0.09851529645053375
KEN,6,high,0.22716001849499506,0.1151627836295713,0.107965109648796,0.1007674356680205
KEN,7,high,0.23701176798906765,0.1201573020438389,0.11264747066200156,0.1051376392801642
KEN,8,high,0.251138709447389,0.12731920453570778,0.11936175424788442,0.11140430396006089
KEN,9,high,0.2740556180530874,0.1389373361272705,0.1302537526145783,0.12157016910188606
KOR,0,high,0.1989046029774562,0.12335618857556527,0.11674530805910513,0.11020852540072378
KOR,1,high,0.21583538885439574,0.13385628351607795,0.1266826839835329,0.1195894895284588
KOR,2,high,0.22919086082807497,0.14213904869415464,0.13452156084461112,0.1269894533815663
KOR,3,high,0.24013014485488232,0.1489233481175595,0.14094227743205195,0.13305066234047006
KOR,4,high,0.2464463345091396,0.15284050775291444,0.1446495094211958,0.13655031965119546
KOR,5,high,0.2570386419434613,0.1594096200497609,0.15086657114810215,0.1424192767565272
KOR,6,high,0.26483827602575977,0.1642467787593833,0.15544449780266748,0.1467408769508311
KOR,7,high,0.27452801631689955,0.1702561390894585,0.16113180567975086,0.1521097420902847
KOR,8,high,0.2931912314497149,0.18183064792880826,0.17208601572536142,0.16245060594277752
KOR,9,high,0.3117778634058725,0.19335766159388806,0.18299527594870968,0.17274903679551276
MAR,0,high,0.1449256740957153,0.07347263025787415,0.06888059086425158,0.06428855147062895
MAR,1,high,0.17142973748835336,0.08690933332742452,0.08147749999149687,0.0760456666555691
MAR,2,high,0.1906880670805479,0.09667268366780021,0.09063064093526618,0.08458859820273205
MAR,3,high,0.2078078561290407,0.10535186310720031,0.09876737165940774,0.09218288021161514
MAR,4,high,0.22080398057875028,0.11194047794330025,0.10494419806802688,0.09794791819275331
MAR,5,high,0.23101561977203852,0.11711744879719996,0.10979760824338126,0.10247776768956246
MAR,6,high,0.2632523342966866,0.13346042061207547,0.12511914431926968,0.1167778680264639
MAR,7,high,0.29612512262651075,0.15012586127724975,0.14074299494230227,0.1313601286073548
MAR,8,high,0.3597450319050523,0.18237909798377458,0.17098040435356957,0.1595817107233644
MAR,9,high,0.4435010392415711,0.22484068525814266,0.21078814242184157,0.1967355995855405
NGA,0,high,0.37101578685509984,0.1880930062773803,0.17633719337863019,0.16458138047987994
