country,0,1,2,3,4,5,6,7,8,9
SGP,0,0,0,0,0,0,0,0,0,0
IDN,0.045525606,0.045525606,0.045525606,0.045525606,0.045525606,0.045525606,0.045525606,0.045525606,0.045525606,0.045525606
MYS,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,0
MMR,0,0,0,0,0,0,0,0,0,0
PHL,0.105405798,0.105405798,0.105405798,0.105405798,0.105405798,0.105405798,0.105405798,0.105405798,0.105405798,0.105405798
THA,0.26948837,0.26948837,0.26948837,0.26948837,0.26948837,0.26948837,0.26948837,0.26948837,0.26948837,0.26948837
VNM,0.85030303,0.85030303,0.85030303,0.85030303,0.85030303,0.85030303,0.85030303,0.85030303,0.85030303,0.85030303
LAO,0,0,0,0,0,0,0,0,0,0
AUS,0.679271778,0.679271778,0.679271778,0.679271778,0.679271778,0.679271778,0.679271778,0.679271778,0.679271778,0.679271778
SAU,0.000225211,0.000225211,0.000225211,0.000225211,0.000225211,0.000225211,0.000225211,0.000225211,0.000225211,0.000225211
IND,6.753086992,6.753086992,6.753086992,6.753086992,6.753086992,6.753086992,6.753086992,6.753086992,6.753086992,6.753086992
ARE,0,0,0,0,0,0,0,0,0,0
MAR,0.539121074,0.539121074,0.539121074,0.539121074,0.539121074,0.539121074,0.539121074,0.539121074,0.539121074,0.539121074
KEN,0.254428412,0.254428412,0.254428412,0.254428412,0.254428412,0.254428412,0.254428412,0.254428412,0.254428412,0.254428412
ZAF,0.527343847,0.527343847,0.527343847,0.527343847,0.527343847,0.527343847,0.527343847,0.527343847,0.527343847,0.527343847
KOR,0.232726534,0.232726534,0.232726534,0.232726534,0.232726534,0.232726534,0.232726534,0.232726534,0.232726534,0.232726534
EGY,0.532271104,0.532271104,0.532271104,0.532271104,0.532271104,0.532271104,0.532271104,0.532271104,0.532271104,0.532271104
NGA,0.000634834,0.000634834,0.000634834,0.000634834,0.000634834,0.000634834,0.000634834,0.000634834,0.000634834,0.000634834
BRA,6.257119411,6.257119411,6.257119411,6.257119411,6.257119411,6.257119411,6.257119411,6.257119411,6.257119411,6.257119411
COL,0.004028859,0.004028859,0.004028859,0.004028859,0.004028859,0.004028859,0.004028859,0.004028859,0.004028859,0.004028859
PER,0.158148649,0.158148649,0.158148649,0.158148649,0.158148649,0.158148649,0.158148649,0.158148649,0.158148649,0.158148649
CHL,0.938607143,0.938607143,0.938607143,0.938607143,0.938607143,0.938607143,0.938607143,0.938607143,0.938607143,0.938607143
FRA,1.411570806,1.411570806,1.411570806,1.411570806,1.411570806,1.411570806,1.411570806,1.411570806,1.411570806,1.411570806
DEU,46.53310587,46.53310587,46.53310587,46.53310587,46.53310587,46.53310587,46.53310587,46.53310587,46.53310587,46.53310587
USA,9.959373393,9.959373393,9.959373393,9.959373393,9.959373393,9.959373393,9.959373393,9.959373393,9.959373393,9.959373393
RUS,0.001979373,0.001979373,0.001979373,0.001979373,0.001979373,0.001979373,0.001979373,0.001979373,0.001979373,0.001979373
CHN,25.99360412,25.99360412,25.99360412,25.99360412,25.99360412,25.99360412,25.99360412,25.99360412,25.99360412,25.99360412
TUR,1.106599308,1.106599308,1.106599308,1.106599308,1.106599308,1.106599308,1.106599308,1.106599308,1.106599308,1.106599308
JPN,0.368258014,0.368258014,0.368258014,0.368258014,0.368258014,0.368258014,0.368258014,0.368258014,0.368258014,0.368258014
