region,group,scenario,2022,2030,2040,2050
MAR,0,high,22765000,22765000,22765000,22765000
MAR,1,high,36537000,36537000,36537000,36537000
MAR,2,high,28491000,28491000,28491000,28491000
MAR,3,high,26556000,26556000,26556000,26556000
MAR,4,high,34934000,34934000,34934000,34934000
MAR,5,high,13301000,13301000,13301000,13301000
MAR,6,high,23601000,23601000,23601000,23601000
MAR,7,high,15857000,15857000,15857000,15857000
MAR,8,high,17267000,17267000,17267000,17267000
MAR,9,high,32729000,32729000,32729000,32729000
