region,group,scenario,2022,2030,2040,2050
CHL,0,high,1188934029.9999998,1188934029.9999998,1188934029.9999998,1188934029.9999998
CHL,1,high,680470923.3333333,680470923.3333333,680470923.3333333,680470923.3333333
CHL,2,high,643732173.3333333,643732173.3333333,643732173.3333333,643732173.3333333
CHL,3,high,470496313.3333333,470496313.3333333,470496313.3333333,470496313.3333333
CHL,4,high,449298569.99999994,449298569.99999994,449298569.99999994,449298569.99999994
CHL,5,high,542078086.6666666,542078086.6666666,542078086.6666666,542078086.6666666
CHL,6,high,218745716.66666666,218745716.66666666,218745716.66666666,218745716.66666666
CHL,7,high,186742666.6666667,186742666.6666667,186742666.6666667,186742666.6666667
CHL,8,high,73034806.66666667,73034806.66666667,73034806.66666667,73034806.66666667
CHL,9,high,74589366.66666667,74589366.66666667,74589366.66666667,74589366.66666667
COL,0,high,368057673.3333334,368057673.3333334,368057673.3333334,368057673.3333334
COL,1,high,325860256.6666666,325860256.6666666,325860256.6666666,325860256.6666666
COL,2,high,631408256.6666667,631408256.6666667,631408256.6666667,631408256.6666667
COL,3,high,1251646470.0,1251646470.0,1251646470.0,1251646470.0
COL,4,high,1319364036.6666663,1319364036.6666663,1319364036.6666663,1319364036.6666663
COL,5,high,1039616893.3333333,1039616893.3333333,1039616893.3333333,1039616893.3333333
COL,6,high,663858566.6666667,663858566.6666667,663858566.6666667,663858566.6666667
COL,7,high,108315376.66666666,108315376.66666666,108315376.66666666,108315376.66666666
COL,8,high,197875606.6666667,197875606.6666667,197875606.6666667,197875606.6666667
COL,9,high,106373600.0,106373600.0,106373600.0,106373600.0
EGY,0,high,502294493.3333333,502294493.3333333,502294493.3333333,502294493.3333333
EGY,1,high,1177569763.3333335,1177569763.3333335,1177569763.3333335,1177569763.3333335
EGY,2,high,1550048420.0,1550048420.0,1550048420.0,1550048420.0
EGY,3,high,2190131536.6666665,2190131536.6666665,2190131536.6666665,2190131536.6666665
EGY,4,high,2730650153.3333335,2730650153.3333335,2730650153.3333335,2730650153.3333335
EGY,5,high,2541891900.0000005,2541891900.0000005,2541891900.0000005,2541891900.0000005
EGY,6,high,4584975770.0,4584975770.0,4584975770.0,4584975770.0
EGY,7,high,4613843699.999999,4613843699.999999,4613843699.999999,4613843699.999999
