Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,SGP
1,10.47734019,G$/GWp,262800,h,WINDOUT,24,0,312.127,GWp,0.02,0.1,GWp,0.005,IDN
2,8.459377711,G$/GWp,262800,h,WINDOUT,24,0,57.513,GWp,0.02,0.1,GWp,0.005,MYS
3,8.286272486,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,0.02,0.1,GWp,0.005,BRN
4,9.685091477,G$/GWp,262800,h,WINDOUT,24,0,8.454,GWp,0.02,0.1,GWp,0.005,KHM
5,4.583998241,G$/GWp,219000,h,WINDOUT,24,0,84.987,GWp,0.02,0.1,GWp,0.005,MMR
6,7.613767453,G$/GWp,262800,h,WINDOUT,24,0,38.74,GWp,0.02,0.1,GWp,0.005,PHL
7,8.168972241,G$/GWp,262800,h,WINDOUT,24,0,39.015,GWp,0.02,0.1,GWp,0.005,THA
8,7.168639447,G$/GWp,262800,h,WINDOUT,24,0,70.596,GWp,0.02,0.1,GWp,0.005,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,0.02,0.1,GWp,0.005,LAO
10,5.536236672,G$/GWp,219000,h,WINDOUT,24,0,940.059,GWp,0.02,0.1,GWp,0.005,AUS
11,3.899724209,G$/GWp,219000,h,WINDOUT,24,0,36.341,GWp,0.02,0.1,GWp,0.005,SAU
12,4.70611412,G$/GWp,219000,h,WINDOUT,24,0,133.278,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,4.481454531,G$/GWp,219000,h,WINDOUT,24,0,17.267,GWp,0.02,0.1,GWp,0.005,MAR
15,4.838743633,G$/GWp,219000,h,WINDOUT,24,0,2.876,GWp,0.02,0.1,GWp,0.005,KEN
16,100,G$/GWp,219000,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,ZAF
17,5.723368406,G$/GWp,262800,h,WINDOUT,24,0,31.5,GWp,0.02,0.1,GWp,0.005,KOR
18,4.110254184,G$/GWp,219000,h,WINDOUT,24,0,21.259,GWp,0.02,0.1,GWp,0.005,EGY
19,4.317050549,G$/GWp,219000,h,WINDOUT,24,0,33.313,GWp,0.02,0.1,GWp,0.005,NGA
20,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,BRA
21,4.268382056,G$/GWp,262800,h,WINDOUT,24,0,9.891,GWp,0.02,0.1,GWp,0.005,COL
22,5.22309741,G$/GWp,262800,h,WINDOUT,24,0,61.74,GWp,0.02,0.1,GWp,0.005,PER
23,3.918436101,G$/GWp,262800,h,WINDOUT,24,0,16.35,GWp,0.02,0.1,GWp,0.005,CHL
24,5.537641548,G$/GWp,219000,h,WINDOUT,24,0,127.491,GWp,0.02,0.1,GWp,0.005,FRA
25,4.159658657,G$/GWp,219000,h,WINDOUT,24,0,14.51,GWp,0.02,0.1,GWp,0.005,DEU
26,5.260364781,G$/GWp,219000,h,WINDOUT,24,0,541.777,GWp,0.02,0.1,GWp,0.005,USA
27,5.911079443,G$/GWp,219000,h,WINDOUT,24,0,2910.403,GWp,0.02,0.1,GWp,0.005,RUS
28,4.672029192,G$/GWp,219000,h,WINDOUT,24,0,343.885,GWp,0.02,0.1,GWp,0.005,CHN
29,4.533779954,G$/GWp,219000,h,WINDOUT,24,0,9.975,GWp,0.02,0.1,GWp,0.005,TUR
30,6.447405648,G$/GWp,219000,h,WINDOUT,24,0,84.783,GWp,0.02,0.1,GWp,0.005,JPN
