Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,SGP
1,9.904322753,G$/GWp,262800,h,WINDOUT,24,0,314.959,GWp,0.02,0.1,GWp,0.005,IDN
2,8.271734982,G$/GWp,262800,h,WINDOUT,24,0,57.516,GWp,0.02,0.1,GWp,0.005,MYS
3,8.016821458,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,0.02,0.1,GWp,0.005,BRN
4,8.704494233,G$/GWp,262800,h,WINDOUT,24,0,9.388,GWp,0.02,0.1,GWp,0.005,KHM
5,5.238070382,G$/GWp,219000,h,WINDOUT,24,0,158.592,GWp,0.02,0.1,GWp,0.005,MMR
6,6.597614354,G$/GWp,262800,h,WINDOUT,24,0,50.33,GWp,0.02,0.1,GWp,0.005,PHL
7,7.944263823,G$/GWp,262800,h,WINDOUT,24,0,41.794,GWp,0.02,0.1,GWp,0.005,THA
8,6.485050141,G$/GWp,262800,h,WINDOUT,24,0,90.11,GWp,0.02,0.1,GWp,0.005,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,0.02,0.1,GWp,0.005,LAO
10,5.031492741,G$/GWp,219000,h,WINDOUT,24,0,1182.532,GWp,0.02,0.1,GWp,0.005,AUS
11,4.34194638,G$/GWp,219000,h,WINDOUT,24,0,45.476,GWp,0.02,0.1,GWp,0.005,SAU
12,5.523589514,G$/GWp,219000,h,WINDOUT,24,0,244.769,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,4.186917674,G$/GWp,219000,h,WINDOUT,24,0,15.857,GWp,0.02,0.1,GWp,0.005,MAR
15,4.716545551,G$/GWp,219000,h,WINDOUT,24,0,3.689,GWp,0.02,0.1,GWp,0.005,KEN
16,100,G$/GWp,219000,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,ZAF
17,6.096929979,G$/GWp,262800,h,WINDOUT,24,0,56.144,GWp,0.02,0.1,GWp,0.005,KOR
18,4.077039554,G$/GWp,219000,h,WINDOUT,24,0,19.679,GWp,0.02,0.1,GWp,0.005,EGY
19,4.055453357,G$/GWp,219000,h,WINDOUT,24,0,14.021,GWp,0.02,0.1,GWp,0.005,NGA
20,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,BRA
21,5.060037552,G$/GWp,262800,h,WINDOUT,24,0,9.394,GWp,0.02,0.1,GWp,0.005,COL
22,5.055700828,G$/GWp,262800,h,WINDOUT,24,0,69.657,GWp,0.02,0.1,GWp,0.005,PER
23,4.972243358,G$/GWp,262800,h,WINDOUT,24,0,143.341,GWp,0.02,0.1,GWp,0.005,CHL
24,4.83029149,G$/GWp,219000,h,WINDOUT,24,0,91.829,GWp,0.02,0.1,GWp,0.005,FRA
25,3.609550302,G$/GWp,219000,h,WINDOUT,24,0,8.061,GWp,0.02,0.1,GWp,0.005,DEU
26,4.830580553,G$/GWp,219000,h,WINDOUT,24,0,395.209,GWp,0.02,0.1,GWp,0.005,USA
27,4.922786914,G$/GWp,219000,h,WINDOUT,24,0,1763.924,GWp,0.02,0.1,GWp,0.005,RUS
28,4.108657466,G$/GWp,219000,h,WINDOUT,24,0,248.119,GWp,0.02,0.1,GWp,0.005,CHN
29,4.567925103,G$/GWp,219000,h,WINDOUT,24,0,10.483,GWp,0.02,0.1,GWp,0.005,TUR
30,5.799169377,G$/GWp,219000,h,WINDOUT,24,0,147.38,GWp,0.02,0.1,GWp,0.005,JPN
