Charging_profile,Unit
0.09641787,GWh/GWh fleet
0.092910102,GWh/GWh fleet
0.093977684,GWh/GWh fleet
0.09196453,GWh/GWh fleet
0.089661604,GWh/GWh fleet
0.084140682,GWh/GWh fleet
0.079306062,GWh/GWh fleet
0.074074912,GWh/GWh fleet
0.073236098,GWh/GWh fleet
0.071268698,GWh/GWh fleet
0.070231618,GWh/GWh fleet
0.07024687,GWh/GWh fleet
0.073007331,GWh/GWh fleet
0.078604508,GWh/GWh fleet
0.0837289,GWh/GWh fleet
0.091629004,GWh/GWh fleet
0.095563805,GWh/GWh fleet
0.097637963,GWh/GWh fleet
0.097622712,GWh/GWh fleet
0.096585633,GWh/GWh fleet
0.098354768,GWh/GWh fleet
0.098720796,GWh/GWh fleet
0.098537782,GWh/GWh fleet
0.098095498,GWh/GWh fleet
0.096097596,GWh/GWh fleet
0.093062614,GWh/GWh fleet
0.093718414,GWh/GWh fleet
0.092559325,GWh/GWh fleet
0.089890371,GWh/GWh fleet
0.084872738,GWh/GWh fleet
0.080480402,GWh/GWh fleet
0.075645782,GWh/GWh fleet
0.073556373,GWh/GWh fleet
0.071924498,GWh/GWh fleet
0.071100935,GWh/GWh fleet
0.071207693,GWh/GWh fleet
0.073891898,GWh/GWh fleet
0.079214555,GWh/GWh fleet
0.084094928,GWh/GWh fleet
0.091567999,GWh/GWh fleet
0.095518051,GWh/GWh fleet
0.098049745,GWh/GWh fleet
0.09811075,GWh/GWh fleet
0.09667714,GWh/GWh fleet
0.098614038,GWh/GWh fleet
0.099041071,GWh/GWh fleet
0.098949564,GWh/GWh fleet
0.098980066,GWh/GWh fleet
0.09641787,GWh/GWh fleet
0.092742339,GWh/GWh fleet
0.094023437,GWh/GWh fleet
0.092406814,GWh/GWh fleet
0.089554846,GWh/GWh fleet
0.08450671,GWh/GWh fleet
0.080022867,GWh/GWh fleet
0.076057564,GWh/GWh fleet
0.07287007,GWh/GWh fleet
0.071375456,GWh/GWh fleet
0.070307874,GWh/GWh fleet
0.070155363,GWh/GWh fleet
0.072992079,GWh/GWh fleet
0.078482499,GWh/GWh fleet
0.083240863,GWh/GWh fleet
0.09092745,GWh/GWh fleet
0.095075768,GWh/GWh fleet
0.097302438,GWh/GWh fleet
0.097515954,GWh/GWh fleet
0.096372117,GWh/GWh fleet
0.097927736,GWh/GWh fleet
0.098415773,GWh/GWh fleet
0.098019243,GWh/GWh fleet
0.09798874,GWh/GWh fleet
0.095411293,GWh/GWh fleet
