region,group,scenario,2022,2030,2040,2050
RUS,0,high,3960680.652891713,3960680.652891713,3960680.652891713,3960680.652891713
RUS,1,high,9014509.962309767,9014509.962309767,9014509.962309767,9014509.962309767
RUS,2,high,20533284.66536158,20533284.66536158,20533284.66536158,20533284.66536158
RUS,3,high,19851391.999303564,19851391.999303564,19851391.999303564,19851391.999303564
RUS,4,high,24319245.552312024,24319245.552312024,24319245.552312024,24319245.552312024
RUS,5,high,12773485.476012545,12773485.476012545,12773485.476012545,12773485.476012545
RUS,6,high,26669272.920352872,26669272.920352872,26669272.920352872,26669272.920352872
RUS,7,high,9787010.0156598,9787010.0156598,9787010.0156598,9787010.0156598
RUS,8,high,13043436.93353699,13043436.93353699,13043436.93353699,13043436.93353699
RUS,9,high,4503941.066378764,4503941.066378764,4503941.066378764,4503941.066378764
