Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,0.51,G$/GWp,210240,h,PVOUT,24,0,2.764361365,GWp,0.02,0.1,GWp,0.005,SGP
1,0.537290183,G$/GWp,210240,h,PVOUT,24,0,194.6983221,GWp,0.02,0.1,GWp,0.005,IDN
2,0.51,G$/GWp,210240,h,PVOUT,24,0,5127.898157,GWp,0.02,0.1,GWp,0.005,MYS
3,0.51,G$/GWp,210240,h,PVOUT,24,0,0.372455306,GWp,0.02,0.1,GWp,0.005,BRN
4,0.51,G$/GWp,210240,h,PVOUT,24,0,11.85836712,GWp,0.02,0.1,GWp,0.005,KHM
5,0.545174837,G$/GWp,210240,h,PVOUT,24,0,36,GWp,0.02,0.1,GWp,0.005,MMR
6,0.51,G$/GWp,210240,h,PVOUT,24,0,90.86142092,GWp,0.02,0.1,GWp,0.005,PHL
7,0.51,G$/GWp,210240,h,PVOUT,24,0,68.09770177,GWp,0.02,0.1,GWp,0.005,THA
8,0.348892792,G$/GWp,210240,h,PVOUT,24,0,14164.97676,GWp,0.02,0.1,GWp,0.005,VNM
9,0.51,G$/GWp,210240,h,PVOUT,24,0,2794.702241,GWp,0.02,0.1,GWp,0.005,LAO
10,0.567522278,G$/GWp,210240,h,PVOUT,24,0,32,GWp,0.02,0.1,GWp,0.005,AUS
11,0.341312081,G$/GWp,210240,h,PVOUT,24,0,35,GWp,0.02,0.1,GWp,0.005,SAU
12,0.331545499,G$/GWp,210240,h,PVOUT,24,0,1072,GWp,0.02,0.1,GWp,0.005,IND
13,1.658316,G$/GWp,210240,h,PVOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,ARE
14,0.545174837,G$/GWp,210240,h,PVOUT,24,0,25,GWp,0.02,0.1,GWp,0.005,MAR
15,0.545174837,G$/GWp,210240,h,PVOUT,24,0,64,GWp,0.02,0.1,GWp,0.005,KEN
16,0.701418804,G$/GWp,210240,h,PVOUT,24,0,66,GWp,0.02,0.1,GWp,0.005,ZAF
17,0.726445709,G$/GWp,210240,h,PVOUT,24,0,42,GWp,0.02,0.1,GWp,0.005,KOR
18,0.545174837,G$/GWp,210240,h,PVOUT,24,0,71,GWp,0.02,0.1,GWp,0.005,EGY
19,0.545174837,G$/GWp,210240,h,PVOUT,24,0,177,GWp,0.02,0.1,GWp,0.005,NGA
20,0.42017606,G$/GWp,210240,h,PVOUT,24,0,209,GWp,0.02,0.1,GWp,0.005,BRA
21,0.545174837,G$/GWp,210240,h,PVOUT,24,0,38,GWp,0.02,0.1,GWp,0.005,COL
22,0.545174837,G$/GWp,210240,h,PVOUT,24,0,29,GWp,0.02,0.1,GWp,0.005,PER
23,0.550908264,G$/GWp,210240,h,PVOUT,24,0,18,GWp,0.02,0.1,GWp,0.005,CHL
24,0.666387113,G$/GWp,210240,h,PVOUT,24,0,84,GWp,0.02,0.1,GWp,0.005,FRA
25,0.600804817,G$/GWp,210240,h,PVOUT,24,0,95,GWp,0.02,0.1,GWp,0.005,DEU
26,0.651909348,G$/GWp,210240,h,PVOUT,24,0,452,GWp,0.02,0.1,GWp,0.005,USA
27,0.800803187,G$/GWp,210240,h,PVOUT,24,0,144,GWp,0.02,0.1,GWp,0.005,RUS
28,0.392363515,G$/GWp,210240,h,PVOUT,24,0,1212,GWp,0.02,0.1,GWp,0.005,CHN
29,0.371426361,G$/GWp,210240,h,PVOUT,24,0,64,GWp,0.02,0.1,GWp,0.005,TUR
30,0.812073485,G$/GWp,210240,h,PVOUT,24,0,121,GWp,0.02,0.1,GWp,0.005,JPN
