region,scenario,group,2021,2030,2040,2050
MYS,high,0,12220.1933,5992.611779,5618.073542,5243.535306
MYS,high,1,17623.1034,8642.12328,8101.990575,7561.85787
MYS,high,2,19335.28277,9481.752081,8889.142575,8296.53307
MYS,high,3,17746.97744,8702.869375,8158.940039,7615.010703
MYS,high,4,17206.48538,8437.819634,7910.455907,7383.09218
MYS,high,5,17348.92708,8507.671048,7975.941607,7444.212167
MYS,high,6,18965.01035,9300.17567,8718.91469,8137.653711
MYS,high,7,19277.49019,9453.411408,8862.573195,8271.734982
MYS,high,8,19714.79637,9667.860241,9063.618976,8459.377711
MYS,high,9,21195.84934,10394.14789,9744.513646,9094.879403
MYS,low,0,3284.276326,3196.834693,2915.134067,2633.426258
MYS,low,1,4736.352352,4610.250178,4204.001346,3797.742155
MYS,low,2,5196.51448,5058.160802,4612.442709,4166.71325
MYS,low,3,4769.644507,4642.655952,4233.551569,3824.436753
MYS,low,4,4624.382871,4501.261809,4104.616881,3707.961838
MYS,low,5,4662.665235,4538.524931,4138.596428,3738.657727
MYS,low,6,5097.000758,4961.296564,4524.114013,4086.920314
MYS,low,7,5180.982255,5043.042111,4598.656256,4154.25907
MYS,low,8,5298.511848,5157.442558,4702.975895,4248.497643
MYS,low,9,5696.556876,5544.889908,5056.281923,4567.661479
MYS,medium,0,5080.999845,4607.20294,4279.551654,3950.139387
MYS,medium,1,7327.460658,6644.184081,6171.668439,5696.613233
MYS,medium,2,8039.362908,7289.702332,6771.279252,6250.069876
MYS,medium,3,7378.965897,6690.88652,6215.049532,5736.655129
MYS,medium,4,7154.236223,6487.112608,6025.767446,5561.942757
MYS,medium,5,7213.461655,6540.815342,6075.650994,5607.986591
MYS,medium,6,7885.40838,7150.103873,6641.608641,6130.380471
MYS,medium,7,8015.333494,7267.913631,6751.040102,6231.388604
MYS,medium,8,8197.159803,7432.784864,6904.186157,6372.746465
MYS,medium,9,8812.962656,7991.164867,7422.855749,6851.492219
