region,group,scenario,2022,2030,2040,2050
CHL,0,high,0.13346323276499106,0.07243273716090352,0.05614456527873056,0.039856393396557645
CHL,1,high,0.1387770784901692,0.0753166504511141,0.05837996413740888,0.04144327782370359
CHL,2,high,0.14803055836341533,0.08033866933674073,0.06227266622498457,0.044206663113228725
CHL,3,high,0.15867662788439013,0.08611647000463932,0.06675119512615992,0.04738592024768008
CHL,4,high,0.1666058843544706,0.09041981061673145,0.07008683032900336,0.04975385004127513
CHL,5,high,0.1912780032305517,0.10380978375563019,0.08046575911789233,0.057121734480154715
CHL,6,high,0.20434981269608055,0.11090407421764309,0.08596473471322214,0.061025395208801556
CHL,7,high,0.2182127909625211,0.11842774527099117,0.09179653476865945,0.06516532426632776
CHL,8,high,0.2718474418505772,0.1475361707901917,0.11435925931534326,0.08118234784049493
CHL,9,high,0.37353299470116724,0.2027226275400991,0.15713576818334482,0.11154890882659055
COL,0,high,0.18408109709801515,0.09990390196729014,0.07743820495340867,0.05497250793952708
COL,1,high,0.1919530563271855,0.10417614640476645,0.08074973667384822,0.05732332694292962
COL,2,high,0.20055638337322762,0.10884531643553157,0.08436893611135379,0.05989255578717713
COL,3,high,0.2052449587635675,0.1113898850172438,0.08634129974749259,0.0612927144777417
COL,4,high,0.21060180203304601,0.11429713379663943,0.08859478657229232,0.06289243934794642
COL,5,high,0.21942058006625695,0.11908323269538822,0.09230462072441593,0.06552600875344329
COL,6,high,0.22345054084100208,0.12127036006761406,0.09399992205273684,0.06672948403785957
COL,7,high,0.22909396091563047,0.12433313889055497,0.09637396440290971,0.06841478991526478
COL,8,high,0.232733185313374,0.12630820707083443,0.09790489294053104,0.06950157881022782
COL,9,high,0.24639307106265046,0.13372165640536018,0.1036512571732978,0.07358085794123624
EGY,0,high,0.13601657851279575,0.07381848076683967,0.05721869246752139,0.04061890416820314
EGY,1,high,0.1405988220350917,0.07630534125853888,0.05914632500893902,0.041987308759339044
EGY,2,high,0.1431025464034717,0.07766415450875856,0.060199577753745355,0.04273500099873214
EGY,3,high,0.14662669758934027,0.07957677052496713,0.061682097937079426,0.04378742534919164
EGY,4,high,0.14804618110297826,0.0803471480597945,0.06227923831156641,0.04421132856333833
EGY,5,high,0.15067172152523556,0.08177207292764546,0.06338373595166873,0.04499539897569155
EGY,6,high,0.15230409681372545,0.08265799040296562,0.06407043444566835,0.045482878488370994
EGY,7,high,0.1532212623681944,0.08315575154784119,0.06445626251439904,0.04575677348095697
EGY,8,high,0.15479049864384678,0.0840074024208408,0.06511640004209762,0.04622539766335411
EGY,9,high,0.1631301363369886,0.08853346381265655,0.06862467211945726,0.048715880426257734
KEN,0,high,0.17519509177039885,0.09508131768717644,0.0737000899995922,0.052318862312007976
