region,scenario,group,2021,2030,2040,2050
PHL,high,0,2030.837295,1346.950473,1183.435434,1020.155968
PHL,high,1,2289.62825,1518.593273,1334.241403,1150.155125
PHL,high,2,2653.956741,1760.233721,1546.547552,1333.169238
PHL,high,3,2842.068226,1884.998445,1656.166278,1427.663787
PHL,high,4,3036.178805,2013.742061,1769.280873,1525.171877
PHL,high,5,3286.837285,2179.991006,1915.347783,1651.085826
PHL,high,6,3512.763417,2329.83625,2047.002342,1764.575908
PHL,high,7,3689.132806,2446.813042,2149.778564,1853.172019
PHL,high,8,4239.292354,2811.705722,2470.374559,2129.535146
PHL,high,9,4951.458299,3284.048957,2885.37699,2487.279383
PHL,low,0,1107.075906,834.9517557,753.1130826,669.4166308
PHL,low,1,1248.151329,941.3502164,849.0827864,754.7208398
PHL,low,2,1446.758719,1091.139032,984.1898939,874.8129571
PHL,low,3,1549.304449,1168.478569,1053.948915,936.8193804
PHL,low,4,1655.120481,1248.284553,1125.932631,1000.80326
PHL,low,5,1791.762626,1351.339454,1218.886499,1083.426795
PHL,low,6,1914.922358,1444.22598,1302.668654,1157.897906
PHL,low,7,2011.067087,1516.73791,1368.073251,1216.03383
PHL,low,8,2310.977071,1742.928694,1572.093708,1397.380682
PHL,low,9,2699.202046,2035.726254,1836.192408,1632.129043
PHL,medium,0,1388.337885,1122.458728,986.1961955,850.1299737
PHL,medium,1,1565.254711,1265.494395,1111.867836,958.4626049
PHL,medium,2,1814.319984,1466.861435,1288.789627,1110.974365
PHL,medium,3,1942.918323,1570.832038,1380.138566,1189.719823
PHL,medium,4,2075.617812,1678.118385,1474.400728,1270.976564
PHL,medium,5,2246.975047,1816.659172,1596.123153,1375.904856
PHL,medium,6,2401.424548,1941.530209,1705.835286,1470.479924
PHL,medium,7,2521.995657,2039.010869,1791.482138,1544.310016
PHL,medium,8,2898.100304,2343.088103,2058.645467,1774.612622
PHL,medium,9,3384.957111,2736.707465,2404.480826,2072.73282
