Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,SGP
1,2.543964423,G$/GWp,262800,h,WINDOUT,24,0,66.4448,GWp,0.02,0.1,GWp,0.005,IDN
2,2.547564697,G$/GWp,262800,h,WINDOUT,24,0,10.0264,GWp,0.02,0.1,GWp,0.005,MYS
3,2.546930602,G$/GWp,262800,h,WINDOUT,24,0,0.028,GWp,0.02,0.1,GWp,0.005,BRN
4,1.925377151,G$/GWp,262800,h,WINDOUT,24,0,10.6168,GWp,0.02,0.1,GWp,0.005,KHM
5,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,172.522,GWp,0.02,0.1,GWp,0.005,MMR
6,2.129535146,G$/GWp,262800,h,WINDOUT,24,0,16.7848,GWp,0.02,0.1,GWp,0.005,PHL
7,1.988208333,G$/GWp,262800,h,WINDOUT,24,0,40.792,GWp,0.02,0.1,GWp,0.005,THA
8,1.962556949,G$/GWp,262800,h,WINDOUT,24,0,20.4368,GWp,0.02,0.1,GWp,0.005,VNM
9,2.552438558,G$/GWp,262800,h,WINDOUT,24,0,12.8176,GWp,0.02,0.1,GWp,0.005,LAO
10,1.278948361,G$/GWp,219000,h,WINDOUT,24,0,2699.3155,GWp,0.02,0.1,GWp,0.005,AUS
11,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,812.504,GWp,0.02,0.1,GWp,0.005,SAU
12,1.112548261,G$/GWp,219000,h,WINDOUT,24,0,989.0545,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,1.468929644,G$/GWp,219000,h,WINDOUT,24,0,153.4155,GWp,0.02,0.1,GWp,0.005,MAR
15,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,203.1925,GWp,0.02,0.1,GWp,0.005,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,395.759,GWp,0.02,0.1,GWp,0.005,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,20.7585,GWp,0.02,0.1,GWp,0.005,KOR
18,1.328822723,G$/GWp,219000,h,WINDOUT,24,0,277.34,GWp,0.02,0.1,GWp,0.005,EGY
19,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,268.6565,GWp,0.02,0.1,GWp,0.005,NGA
20,1.054285569,G$/GWp,262800,h,WINDOUT,24,0,1859.4345,GWp,0.02,0.1,GWp,0.005,BRA
21,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,47.7365,GWp,0.02,0.1,GWp,0.005,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,34.258,GWp,0.02,0.1,GWp,0.005,PER
23,1.239928337,G$/GWp,262800,h,WINDOUT,24,0,155.2845,GWp,0.02,0.1,GWp,0.005,CHL
24,1.477105269,G$/GWp,219000,h,WINDOUT,24,0,119.791,GWp,0.02,0.1,GWp,0.005,FRA
25,1.471846359,G$/GWp,219000,h,WINDOUT,24,0,58.38,GWp,0.02,0.1,GWp,0.005,DEU
26,1.191193572,G$/GWp,219000,h,WINDOUT,24,0,1641.1115,GWp,0.02,0.1,GWp,0.005,USA
27,1.395708313,G$/GWp,219000,h,WINDOUT,24,0,3015.1975,GWp,0.02,0.1,GWp,0.005,RUS
28,1.09684,G$/GWp,219000,h,WINDOUT,24,0,2168.5825,GWp,0.02,0.1,GWp,0.005,CHN
29,1.402462151,G$/GWp,219000,h,WINDOUT,24,0,281.5015,GWp,0.02,0.1,GWp,0.005,TUR
30,1.280747716,G$/GWp,219000,h,WINDOUT,24,0,46.4835,GWp,0.02,0.1,GWp,0.005,JPN
